-DOCSTART- -X- O
سی OT B-O 
پست OT B-O 
را OT B-O 
می OT B-O 
توان OT B-O 
با OT B-O 
یک OT B-O 
فرکانس OT B-O 
به OT B-O 
روش OT B-O 
POLLING OT B-O 
جمع OT B-O 
اوری OT B-O 
نمود OT B-O 
رادیو OT B-O 
با OT B-O 
باند OT B-O 
VHF AN I-AN 
در OT B-O 
مقایسه OT B-O 
با OT B-O 
باند OT B-O 
UHF AN I-AN 
به OT B-O 
تلفات OT B-O 
کم OT B-O 
کابرد OT B-O 
بیشتری OT B-O 
دارد OT B-O 
ولی OT B-O 
در OT B-O 
هردو OT B-O 
ترافیک OT B-O 
موجود OT B-O 
بوده OT B-O 
و OT B-O 
امکان OT B-O 
تداخل OT B-O 
نیز OT B-O 
وجود OT B-O 
دارد OT B-O 
باند OT B-O 
UHF AN I-AN 
دارای OT B-O 
شرایط OT B-O 
نویزی OT B-O 
بوده OT B-O 
و OT B-O 
دامنه OT B-O 
ارسال OT B-O 
ان OT B-O 
کوچک OT B-O 
بوده OT B-O 
البته OT B-O 
بیشتر OT B-O 
شرکت OT B-O 
های OT B-O 
برق OT B-O 
منطقه OT B-O 
ای OT B-O 
در OT B-O 
ایران OT B-O 
برای OT B-O 
نیاز OT B-O 
مخابراتی OT B-O 
مدیریتی OT B-O 
اداری OT B-O 
و OT B-O 
عملیاتی OT B-O 
از OT B-O 
باند OT B-O 
فرکانسی OT B-O 
VHF AN I-AN 
برای OT B-O 
ارتباطات OT B-O 
ثابت OT B-O 
و OT B-O 
سیار OT B-O 
استفاده OT B-O 
می OT B-O 
نمایند OT B-O 

در OT B-O 
سكشنالايزر OT B-O 
RL AN B-AN 
- OT B-O 
Series OT B-O 
كه OT B-O 
درون OT B-O 
آن OT B-O 
با OT B-O 
گاز OT B-O 
SF6 OT B-O 
پر OT B-O 
شده OT B-O 
است OT B-O 
و OT B-O 
از OT B-O 
دو OT B-O 
طرح OT B-O 
و OT B-O 
ساختار OT B-O 
تشكيل OT B-O 
شده OT B-O 
است OT B-O 
. OT B-O 
كه OT B-O 
محفظه‌ي OT B-O 
انتقال OT B-O 
و OT B-O 
كنترل OT B-O 
و OT B-O 
حفاظت OT B-O 
آن OT B-O 
نيز OT B-O 
شبيه OT B-O 
به OT B-O 
N OT B-O 
- OT B-O 
Series OT B-O 
است OT B-O 
. OT B-O 

DWH AN B-AN 
داده‌های OT B-O 
ديگری OT B-O 
به OT B-O 
نام OT B-O 
داده‌های OT B-O 
اشتقاق OT B-O 
يافته OT B-O 
( OT B-O 
derived OT B-O 
data OT B-O 
) OT B-O 
دارد OT B-O 
. OT B-O 
اين OT B-O 
داده‌ها OT B-O 
به OT B-O 
طور OT B-O 
صريح OT B-O 
در OT B-O 
منابع OT B-O 
عملياتي OT B-O 
ذخيره OT B-O 
نمي‌شوند OT B-O 
، OT B-O 
بلكه OT B-O 
در OT B-O 
حين OT B-O 
بعضي OT B-O 
از OT B-O 
فرايندها OT B-O 
از OT B-O 
داده‌های OT B-O 
عملياتي OT B-O 
، OT B-O 
اشتقاق OT B-O 
مي‌يابند OT B-O 
. OT B-O 
برای OT B-O 
مثال OT B-O 
داده‌های OT B-O 
فروش OT B-O 
را OT B-O 
مي‌توان OT B-O 
در OT B-O 
سطوح OT B-O 
مختلف OT B-O 
( OT B-O 
هفتگي OT B-O 
، OT B-O 
ماهانه OT B-O 
، OT B-O 
فصلي OT B-O 
) OT B-O 
در OT B-O 
انبار OT B-O 
ذخيره OT B-O 
نمود OT B-O 
. OT B-O 

5 OT B-O 
- OT B-O 
5 OT B-O 
- OT B-O 
توپولوژی OT B-O 
بر OT B-O 
مبنای OT B-O 
RTU AN B-AN 
107 OT B-O 
6 OT B-O 
- OT B-O 
5 OT B-O 
- OT B-O 
توپولوژی OT B-O 
غیر OT B-O 
متمرکز OT B-O 
107 OT B-O 
6 OT B-O 
- OT B-O 
5 OT B-O 
- OT B-O 
پروتکل OT B-O 
های OT B-O 
ارتباطی OT B-O 
108 OT B-O 

ملاحضه OT B-O 
می OT B-O 
کنیم OT B-O 
که OT B-O 
وقتی OT B-O 
انبار OT B-O 
مرکزی OT B-O 
متداول OT B-O 
در OT B-O 
همه OT B-O 
کاربردها OT B-O 
وجود OT B-O 
داشته OT B-O 
باشد OT B-O 
مزیت OT B-O 
زیادی OT B-O 
دارد OT B-O 
. OT B-O 
حافظه OT B-O 
کافی OT B-O 
، OT B-O 
بهبود OT B-O 
ظرفیت OT B-O 
گردآوری OT B-O 
و LF B-LF 
قابلیت OT B-O 
استفاده OT B-O 
بین OT B-O 
ابزارها OT B-O 
هر OT B-O 
یک OT B-O 
می OT B-O 
توانند OT B-O 
مزیت OT B-O 
باشند OT B-O 
. OT B-O 
پردازش OT B-O 
اطلاعات LF I-LF 
: OT B-O 
وقتی OT B-O 
اطلاعات LF I-LF 
وضعیت LF I-LF 
( OT B-O 
ایمنی OT B-O 
) OT B-O 
دریافت OT B-O 
می OT B-O 
شود OT B-O 
، OT B-O 
بیشتر OT B-O 
حسگرهای OT B-O 
محلی OT B-O 
یا OT B-O 
به OT B-O 
طور OT B-O 
کلی OT B-O 
دامنه OT B-O 
ارتباطی OT B-O 
پردازش OT B-O 
اطلاعات LF I-LF 
و LF I-LF 
به OT B-O 
روز OT B-O 
رسانی OT B-O 
وضعیت LF I-LF 
ایمنی OT B-O 
IR AN B-AN 
را OT B-O 
انجام OT B-O 
می OT B-O 
دهند OT B-O 
. OT B-O 

شناسه LF B-LF 
فروشنده OT B-O 
Vendor OT B-O 
ID AN B-AN 
Text OT B-O 

Duty OT B-O 
Cycle OT B-O 
L OT B-O 
- OT B-O 
4 OT B-O 
771 OT B-O 
X OT B-O 

مهم‌ترين OT B-O 
نوع OT B-O 
مدولاسيون OT B-O 
غيرخطي OT B-O 
، OT B-O 
در OT B-O 
مخابرات OT B-O 
ديجيتال OT B-O 
مدولاسيون OT B-O 
FSK AN B-AN 
يا OT B-O 
« OT B-O 
كليدزني LF B-LF 
فركانس LF I-LF 
» OT B-O 
است OT B-O 
. OT B-O 
در OT B-O 
اين OT B-O 
نوع OT B-O 
مدولاسيون OT B-O 
به OT B-O 
واسطه‌ي OT B-O 
وجود OT B-O 
دو OT B-O 
حالت OT B-O 
0 OT B-O 
و OT B-O 
1 OT B-O 
سيگنال OT B-O 
انتقالي OT B-O 
نيز OT B-O 
داراي OT B-O 
تغييرات OT B-O 
فركانس LF I-LF 
در OT B-O 
دو OT B-O 
سطح OT B-O 
متفاوت OT B-O 
است OT B-O 
، OT B-O 
كه OT B-O 
فركانس LF I-LF 
در OT B-O 
هر OT B-O 
بازه‌ي OT B-O 
زماني OT B-O 
مشخص OT B-O 
بيان‌كننده OT B-O 
ماهيت OT B-O 
سيگنال OT B-O 
پيام OT B-O 
است OT B-O 
. OT B-O 
چون OT B-O 
سينگنال OT B-O 
حامل OT B-O 
به OT B-O 
صورت OT B-O 
مقابل OT B-O 
تعريف OT B-O 
مي‌شود OT B-O 
: OT B-O 

R4 OT B-O 
‫ OT B-O 
پیکره OT B-O 
بندی OT B-O 
اولیه OT B-O 
‬ OT B-O 
1 OT B-O 
- OT B-O 
19 OT B-O 
‫ OT B-O 
مثال‬ OT B-O 
R4 OT B-O 
# OT B-O 
show OT B-O 
run OT B-O 
brief OT B-O 

image OT B-O 
_ OT B-O 
type OT B-O 
_ OT B-O 
to OT B-O 
_ OT B-O 
mime OT B-O 
_ OT B-O 
type OT B-O 
( OT B-O 
IMAGETYPE OT B-O 
_ OT B-O 
PNG AN B-AN 
) OT B-O 
) OT B-O 
; OT B-O 
? OT B-O 
> OT B-O 
اين OT B-O 
تابع OT B-O 
ميتواند OT B-O 
حاوي OT B-O 
يکي OT B-O 
از OT B-O 
خروجي OT B-O 
هاي OT B-O 
زير OT B-O 
باشد OT B-O 
: OT B-O 

براي OT B-O 
قسمت OT B-O 
پمپاژ OT B-O 
، OT B-O 
از OT B-O 
موتورهاي OT B-O 
كم‌صدا OT B-O 
استفاده OT B-O 
شده OT B-O 
است OT B-O 
. OT B-O 
حجم OT B-O 
مايع OT B-O 
اين OT B-O 
سيستم OT B-O 
1000 OT B-O 
گالن OT B-O 
مي‌باشد OT B-O 
كه OT B-O 
مقداري OT B-O 
الكل OT B-O 
به OT B-O 
آب OT B-O 
افزوده OT B-O 
شده OT B-O 
تا OT B-O 
در OT B-O 
مواقعي OT B-O 
كه OT B-O 
هوا OT B-O 
سرد OT B-O 
بوده OT B-O 
و OT B-O 
از OT B-O 
STATCON AN B-AN 
استفاده OT B-O 
نمي‌شود OT B-O 
، OT B-O 
مايع OT B-O 
يخ OT B-O 
نزند OT B-O 
. OT B-O 
تلفات OT B-O 
اينورترها OT B-O 
در OT B-O 
قدرت OT B-O 
كامل OT B-O 
KW AN B-AN 
600 OT B-O 
مي‌باشد OT B-O 
و OT B-O 
اين OT B-O 
طرح OT B-O 
در OT B-O 
سال OT B-O 
1994 OT B-O 
اجرا OT B-O 
گشته OT B-O 
است OT B-O 
. OT B-O 

دسته OT B-O 
شدن OT B-O 
عمودي OT B-O 
پرتو OT B-O 
رخ OT B-O 
مي OT B-O 
دهد OT B-O 
. OT B-O 
با OT B-O 
دسته OT B-O 
شدن OT B-O 
پرتو OT B-O 
مقدار OT B-O 
قابل OT B-O 
توجهي OT B-O 
انرژي OT B-O 
از OT B-O 
پرتو OT B-O 
الكتروني OT B-O 
به OT B-O 
مد OT B-O 
تحريك OT B-O 
شده OT B-O 
منتقل OT B-O 
مي OT B-O 
شود OT B-O 
. OT B-O 
گايروترونها OT B-O 
به OT B-O 
صورت OT B-O 
اسيلاتورها OT B-O 
به OT B-O 
كار OT B-O 
برده OT B-O 
مي OT B-O 
شوند OT B-O 
اگر OT B-O 
چه OT B-O 
از OT B-O 
گايروترونها OT B-O 
در OT B-O 
تركيب OT B-O 
با OT B-O 
كلايسترون OT B-O 
و OT B-O 
مدار OT B-O 
TWT AN B-AN 
استفاده OT B-O 
شده OT B-O 
كه OT B-O 
تقويت OT B-O 
كننده OT B-O 
هاي OT B-O 
گايروكلاسيترون OT B-O 
و OT B-O 
گايرو OT B-O 
TWT AN I-AN 
بوجود OT B-O 
آمده OT B-O 
است OT B-O 
. OT B-O 

اگرچه OT B-O 
اطلاعات OT B-O 
اضافی OT B-O 
همانند OT B-O 
ساختار OT B-O 
محلی OT B-O 
همسایه OT B-O 
ها OT B-O 
شاید OT B-O 
فقط OT B-O 
به OT B-O 
اصلاح OT B-O 
کارکرد OT B-O 
پروتکل OT B-O 
کمک OT B-O 
می OT B-O 
کند OT B-O 
، OT B-O 
ولی OT B-O 
این OT B-O 
اطلاعات OT B-O 
فقط OT B-O 
افزایش OT B-O 
سربار OT B-O 
شبکه OT B-O 
را OT B-O 
به OT B-O 
همراه OT B-O 
دارند OT B-O 
. OT B-O 
بنابراین OT B-O 
معتقدیم OT B-O 
که OT B-O 
آن OT B-O 
سه OT B-O 
پرچم OT B-O 
دانش OT B-O 
لازم OT B-O 
را OT B-O 
در OT B-O 
مورد OT B-O 
ساختار OT B-O 
محلی OT B-O 
را OT B-O 
توسعه OT B-O 
می OT B-O 
دهند OT B-O 
، OT B-O 
که OT B-O 
برای OT B-O 
DV AN B-AN 
- OT B-O 
CAST AN B-AN 
برای OT B-O 
تعیین OT B-O 
چگونگی OT B-O 
مدیریت OT B-O 
انتشار OT B-O 
بسته OT B-O 
ها OT B-O 
کافی OT B-O 
است OT B-O 
و OT B-O 
اجرای OT B-O 
قابل OT B-O 
قبولی OT B-O 
دارد OT B-O 
. OT B-O 
2 OT B-O 
- OT B-O 
3 OT B-O 
- OT B-O 
10 OT B-O 
- OT B-O 
3 OT B-O 
قواعد OT B-O 
مسیر OT B-O 
یابی OT B-O 

ویجت‌های OT B-O 
قابل OT B-O 
توسعه OT B-O 
: OT B-O 
در OT B-O 
حالی OT B-O 
که OT B-O 
اندروید OT B-O 
1 OT B-O 
. OT B-O 
0 OT B-O 
و OT B-O 
1 OT B-O 
. OT B-O 
1 OT B-O 
از OT B-O 
نظر OT B-O 
فنی OT B-O 
دارای OT B-O 
قابلیت OT B-O 
تازه‌ای OT B-O 
به OT B-O 
نام OT B-O 
ویجت OT B-O 
یا OT B-O 
ابزارک OT B-O 
بودند OT B-O 
، OT B-O 
پتانسیل OT B-O 
کامل OT B-O 
آنها OT B-O 
همچنان OT B-O 
غیر OT B-O 
قابل OT B-O 
دسترس OT B-O 
بود OT B-O 
و OT B-O 
شرکت‌های OT B-O 
ثالث OT B-O 
می‌بایست OT B-O 
تا OT B-O 
عرضه‌ی OT B-O 
SDK AN B-AN 
مربوطه OT B-O 
از OT B-O 
سوی OT B-O 
گوگل OT B-O 
صبر OT B-O 
بیشتری OT B-O 
می‌کردند OT B-O 
. OT B-O 
در OT B-O 
آن OT B-O 
دوران OT B-O 
تنها OT B-O 
ابزارک OT B-O 
موجود OT B-O 
کادرهایی OT B-O 
بودند OT B-O 
که OT B-O 
در OT B-O 
اندروید OT B-O 
پیش‌بینی OT B-O 
شده OT B-O 
بود OT B-O 
. OT B-O 

‫استفاده OT B-O 
در OT B-O 
نمونه OT B-O 
های OT B-O 
با OT B-O 
زتوزیع OT B-O 
‪ OT B-O 
EIGRP AN B-AN 
‬ OT B-O 
می OT B-O 
پردازد OT B-O 
‪ OT B-O 
. OT B-O 
‬ OT B-O 
شکل OT B-O 
‪ OT B-O 
3 OT B-O 
- OT B-O 
1 OT B-O 
‬ OT B-O 
یک OT B-O 
هما OT B-O 
شبکه OT B-O 
نمونه OT B-O 
را OT B-O 
نشان OT B-O 
می OT B-O 
دهد OT B-O 
‪ OT B-O 
.‬ OT B-O 
در OT B-O 
این OT B-O 
مورد OT B-O 
‪ OT B-O 
، OT B-O 
‬‬ OT B-O 
‫حوزه OT B-O 
‪ OT B-O 
EIGRP AN I-AN 
‬ OT B-O 
در OT B-O 
سمت OT B-O 
چپ OT B-O 
شکل OT B-O 
از OT B-O 
زیر OT B-O 
شبکه OT B-O 
های OT B-O 
کالس OT B-O 
‪ OT B-O 
B OT B-O 
‬ OT B-O 
شبکه OT B-O 
‪ OT B-O 
172 OT B-O 
. OT B-O 
30 OT B-O 
. OT B-O 
0 OT B-O 
. OT B-O 
0 OT B-O 
‬ OT B-O 
و OT B-O 
حوزه OT B-O 
‪ OT B-O 
OSDF AN B-AN 
‬ OT B-O 
در OT B-O 
‬ OT B-O 

‬ OT B-O 
در OT B-O 
مسیرهای OT B-O 
‬ OT B-O 
‫ OT B-O 
طراحان OT B-O 
نمی OT B-O 
توانند OT B-O 
به OT B-O 
وسیله OT B-O 
آنها OT B-O 
بهترین OT B-O 
مسیر OT B-O 
را OT B-O 
برای OT B-O 
رسیدن OT B-O 
به OT B-O 
خارج OT B-O 
مقصد OT B-O 
‪OSPF OT B-O 
‬‬ OT B-O 
‫‪ OT B-O 
، OT B-O 
E OT B-O 
1 OT B-O 
‬ OT B-O 
هززینه OT B-O 
های OT B-O 
داخلی OT B-O 
و OT B-O 
خارجی OT B-O 
‪ OT B-O 
OSPF AN B-AN 
‬ OT B-O 
برای OT B-O 
انتخاب OT B-O 
بهترین OT B-O 
مسیر OT B-O 
حائز OT B-O 
اهمیت OT B-O 
هستند OT B-O 
‪ OT B-O 
. OT B-O 
‬ OT B-O 
در OT B-O 
مسیرهای OT B-O 
‪ OT B-O 
E2 OT B-O 
‬‬ OT B-O 

2 OT B-O 
- OT B-O 
2 OT B-O 
- OT B-O 
3 OT B-O 
ارایه LF B-LF 
انتشار LF I-LF 
گروهی LF I-LF 
( OT B-O 
PGB AN B-AN 
) OT B-O 
33 OT B-O 
3 OT B-O 
- OT B-O 
2 OT B-O 
- OT B-O 
3 OT B-O 
AckPBSM OT B-O 
33 OT B-O 
4 OT B-O 
- OT B-O 
2 OT B-O 
- OT B-O 
3 OT B-O 
DECA OT B-O 
34 OT B-O 

در OT B-O 
مركز LF B-LF 
هر OT B-O 
قسمت OT B-O 
يك OT B-O 
گره OT B-O 
ارتباطي OT B-O 
وجود OT B-O 
دارد OT B-O 
كه OT B-O 
مركز LF I-LF 
ديسپاچينگ LF I-LF 
توزيع LF I-LF 
( OT B-O 
DDC AN B-AN 
) OT B-O 
نيز OT B-O 
يكي OT B-O 
از OT B-O 
اين OT B-O 
گره‌ها OT B-O 
مي‌باشد OT B-O 
. OT B-O 
5 OT B-O 
گره OT B-O 
ارتباطي OT B-O 
ياد OT B-O 
شده OT B-O 
توسط OT B-O 
سيستم OT B-O 
راديوئي OT B-O 
UHF AN B-AN 
نقطه OT B-O 
به OT B-O 
نقطه OT B-O 
با OT B-O 
فركانس OT B-O 
900 OT B-O 
مگاهرتز OT B-O 
بصورت OT B-O 
حلقوي OT B-O 
( OT B-O 
Loop OT B-O 
) OT B-O 
به OT B-O 
يكديگر OT B-O 
ارتباط OT B-O 
يافته‌اند OT B-O 
. OT B-O 
از OT B-O 
آنتن OT B-O 
بشقابي OT B-O 
براي OT B-O 
اين OT B-O 
نوع OT B-O 
ارتباط OT B-O 
استفاده OT B-O 
شده OT B-O 
است OT B-O 
. OT B-O 

در OT B-O 
سيستم OT B-O 
I OT B-O 
هم OT B-O 
احتياج OT B-O 
به OT B-O 
