-DOCSTART- -X- O
CC AN B-AN 
) OT B-O 
, OT B-O 
and OT B-O 
the OT B-O 
accusative OT B-O 
specifier OT B-O 
, OT B-O 
tamyiz LF B-LF 
( OT B-O 
TMZ AN B-AN 
) OT B-O 
. OT B-O 

The OT B-O 
metrics OT B-O 
Precision LF B-LF 
( OT B-O 
P LF I-LF 
) OT B-O 
, OT B-O 
Recall LF B-LF 
( OT B-O 
R LF I-LF 
) OT B-O 
, OT B-O 
F-score LF B-LF 
( OT B-O 
F LF I-LF 
) OT B-O 
( OT B-O 
F=2PR/ OT B-O 
( OT B-O 
P+R OT B-O 
) OT B-O 
) OT B-O 
, OT B-O 
Recall LF I-LF 
of LF I-LF 
OOV LF I-LF 
( OT B-O 
ROOV AN I-AN 
) OT B-O 
and OT B-O 
Recall LF I-LF 
of LF I-LF 
IV LF I-LF 
( OT B-O 
RIV AN I-AN 
) OT B-O 
are OT B-O 
used OT B-O 
to OT B-O 
evaluate OT B-O 
the OT B-O 
results OT B-O 
. OT B-O 

158 OT B-O 
I. OT B-O 
CONSTRUCT OT B-O 
THE OT B-O 
PROPOSED OT B-O 
ANCHORS OT B-O 
for OT B-O 
Un OT B-O 
( OT B-O 
a OT B-O 
) OT B-O 
Create OT B-O 
set OT B-O 
of OT B-O 
referring LF B-LF 
expressions LF I-LF 
( OT B-O 
RE AN B-AN 
's AN I-AN 
) OT B-O 
. OT B-O 

Hong OT B-O 
Kong OT B-O 
Laws OT B-O 
, OT B-O 
Sinorama OT B-O 
, OT B-O 
Xinhua OT B-O 
News OT B-O 
, OT B-O 
and OT B-O 
English OT B-O 
translation OT B-O 
of OT B-O 
Chinese OT B-O 
Treebank OT B-O 
) OT B-O 
, OT B-O 
available OT B-O 
from OT B-O 
the OT B-O 
Linguistic LF B-LF 
Data LF I-LF 
Consortium LF I-LF 
( OT B-O 
LDC AN B-AN 
) OT B-O 
. OT B-O 
To OT B-O 

uation OT B-O 
test OT B-O 
sets OT B-O 
. OT B-O 
Equal LF B-LF 
Error LF I-LF 
Rates LF I-LF 
( OT B-O 
EER AN B-AN 
) OT B-O 
, OT B-O 
where OT B-O 
FA AN B-AN 
= OT B-O 
FR AN B-AN 
, OT B-O 
are OT B-O 
given OT B-O 
in OT B-O 
Table OT B-O 
5 OT B-O 
. OT B-O 
Results OT B-O 
on OT B-O 
EVAL AN B-AN 

Draw LF B-LF 
Team LF I-LF 
( OT B-O 
DT_DT AN B-AN 
) OT B-O 
; OT B-O 
Team LF I-LF 
? OT B-O 
Competition OT B-O 
( OT B-O 
TM_CP AN B-AN 
) OT B-O 
; OT B-O 
Team LF I-LF 
? OT B-O 
City OT B-O 
/ OT B-O 
Province OT B-O 
/ OT B-O 
Country OT B-O 

syntactic OT B-O 
skeleton OT B-O 
defined OT B-O 
in OT B-O 
Eq OT B-O 
. OT B-O 
1 OT B-O 
, OT B-O 
namely OT B-O 
, OT B-O 
Subject LF B-LF 
( OT B-O 
S LF I-LF 
) OT B-O 
, OT B-O 
Verb LF B-LF 
( OT B-O 
V LF I-LF 
) OT B-O 
, OT B-O 
Direct LF B-LF 
Object OT B-O 
( OT B-O 
DO AN B-AN 
) OT B-O 
, OT B-O 
Indirect LF B-LF 
Object OT B-O 
( OT B-O 
IO AN B-AN 
) OT B-O 
, OT B-O 
Preposition LF B-LF 
( OT B-O 
P LF I-LF 
) OT B-O 
and OT B-O 
Noun OT B-O 
( OT B-O 
Object OT B-O 
) OT B-O 
of OT B-O 
the OT B-O 
Preposition LF I-LF 
( OT B-O 
N OT B-O 
) OT B-O 
. OT B-O 

Constant OT B-O 
5.23 OT B-O 
1.18 OT B-O 
19.67 OT B-O 
< OT B-O 
0.000 OT B-O 
* OT B-O 
187.25 OT B-O 
ADAG OT B-O 
, OT B-O 
n=242 OT B-O 
; OT B-O 
HAG AN B-AN 
, OT B-O 
n LF B-LF 
= OT B-O 
242 OT B-O 
; OT B-O 
S.E OT B-O 
= OT B-O 
standard OT B-O 
error OT B-O 
; OT B-O 
OR AN B-AN 
= OT B-O 
Odds LF B-LF 
ratio LF I-LF 
or OT B-O 
Exp OT B-O 
( OT B-O 
? OT B-O 
) OT B-O 
; OT B-O 
CI AN B-AN 
= OT B-O 
confidence LF I-LF 
Interval LF I-LF 
. OT B-O 

The OT B-O 
availability OT B-O 
of OT B-O 
large OT B-O 
scale OT B-O 
data OT B-O 
sets OT B-O 
of OT B-O 
manually OT B-O 
annotated OT B-O 
predicate OT B-O 
? OT B-O 
argument OT B-O 
structures OT B-O 
has OT B-O 
recently OT B-O 
favored OT B-O 
the OT B-O 
use OT B-O 
of OT B-O 
machine OT B-O 
learning OT B-O 
approaches OT B-O 
to OT B-O 
the OT B-O 
design OT B-O 
of OT B-O 
automated OT B-O 
semantic LF B-LF 
role LF I-LF 
labeling LF I-LF 
( OT B-O 
SRL AN B-AN 
) OT B-O 
systems OT B-O 
. OT B-O 
The OT B-O 
main OT B-O 
research OT B-O 
in LF I-LF 
this OT B-O 
area OT B-O 
relates OT B-O 
to OT B-O 
the OT B-O 
design OT B-O 
choices OT B-O 

Table OT B-O 
1 OT B-O 
FactBank OT B-O 
annotation OT B-O 
scheme OT B-O 
. OT B-O 
CT AN B-AN 
= OT B-O 
certain LF B-LF 
; OT B-O 
PR AN B-AN 
= OT B-O 
probable LF B-LF 
; OT B-O 
PS AN B-AN 
= OT B-O 
possible LF B-LF 
; OT B-O 
U OT B-O 
= OT B-O 
underspecified LF B-LF 
; OT B-O 
+ OT B-O 
= OT B-O 
positive LF B-LF 
; OT B-O 
? OT B-O 

served OT B-O 
as OT B-O 
the OT B-O 
founding OT B-O 
Editor-in-Chief OT B-O 
of OT B-O 
ACM AN B-AN 
Transactions LF B-LF 
on LF I-LF 
Knowledge LF I-LF 
Discovery LF I-LF 
from LF I-LF 
Data LF I-LF 
( OT B-O 
TKDD AN B-AN 
) OT B-O 
. OT B-O 
He OT B-O 
has OT B-O 
received OT B-O 
ACM AN I-AN 
SIGKDD AN B-AN 
In- OT B-O 

list OT B-O 
of OT B-O 
Frames OT B-O 
alphabetically OT B-O 
surrounding OT B-O 
Compliance OT B-O 
runs OT B-O 
as OT B-O 
follows OT B-O 
: OT B-O 
Compatibility OT B-O 
, OT B-O 
Competition OT B-O 
, OT B-O 
Complaining OT B-O 
, OT B-O 
Completeness OT B-O 
, OT B-O 
Compliance OT B-O 
, OT B-O 
Concessive OT B-O 
.... OT B-O 
Next OT B-O 
, OT B-O 
we OT B-O 
attempt OT B-O 
to OT B-O 
catalogue OT B-O 
the OT B-O 
Lexical LF B-LF 
Units LF I-LF 
( OT B-O 
LUs AN B-AN 
) OT B-O 
associated OT B-O 
with OT B-O 
the OT B-O 
frame OT B-O 
. OT B-O 

{ OT B-O 
kmpark OT B-O 
, OT B-O 
rim OT B-O 
} OT B-O 
@ OT B-O 
nlp.korea.ac.kr OT B-O 
1 OT B-O 
Introduction OT B-O 
The OT B-O 
semantic LF B-LF 
role LF I-LF 
labeling LF I-LF 
( OT B-O 
SRL AN B-AN 
) OT B-O 
refers OT B-O 
to OT B-O 
finding OT B-O 
the OT B-O 
semantic LF I-LF 
relation OT B-O 
( OT B-O 
e.g OT B-O 
. OT B-O 
Agent OT B-O 
, OT B-O 
Patient OT B-O 
, OT B-O 
etc OT B-O 
. OT B-O 
) OT B-O 

the OT B-O 
current OT B-O 
work OT B-O 
, OT B-O 
we OT B-O 
used OT B-O 
a LF B-LF 
subset OT B-O 
of OT B-O 
that OT B-O 
corpus OT B-O 
consisting OT B-O 
of OT B-O 
examples OT B-O 
whose OT B-O 
question OT B-O 
types OT B-O 
were OT B-O 
PRC AN B-AN 
( OT B-O 
procedure LF B-LF 
) OT B-O 
, OT B-O 
RSN AN B-AN 
( OT B-O 
reason LF I-LF 
) OT B-O 
or OT B-O 
ATR AN B-AN 
( OT B-O 
atrans LF I-LF 
) OT B-O 
. OT B-O 

Its OT B-O 
data-driven OT B-O 
approach OT B-O 
learns OT B-O 
a OT B-O 
sub-word OT B-O 
lexicon OT B-O 
from OT B-O 
a OT B-O 
training OT B-O 
corpus OT B-O 
of OT B-O 
words OT B-O 
by OT B-O 
using OT B-O 
a OT B-O 
Minimum OT B-O 
Description LF B-LF 
Length LF I-LF 
( OT B-O 
MDL OT B-O 
) AN B-AN 
algorithm OT B-O 
( OT B-O 
Creutz OT B-O 
et OT B-O 
Lagus OT B-O 
, OT B-O 
2005 OT B-O 
) AN I-AN 
. OT B-O 
It OT B-O 
has OT B-O 
been OT B-O 
used OT B-O 
with OT B-O 

4 OT B-O 
= OT B-O 
1 OT B-O 
, OT B-O 
440 OT B-O 
items OT B-O 
) OT B-O 
( OT B-O 
ADD=additive OT B-O 
, OT B-O 
MUL=multiplicative OT B-O 
, OT B-O 
PLSR=Partial OT B-O 
Least LF B-LF 
Squares LF I-LF 
Regression LF I-LF 
, OT B-O 
OBS=observed OT B-O 
vectors OT B-O 
) OT B-O 
. OT B-O 

The OT B-O 
sentence-level OT B-O 
extraction OT B-O 
is OT B-O 
done OT B-O 
with OT B-O 
the OT B-O 
subsequence OT B-O 
kernel LF B-LF 
( OT B-O 
SSK OT B-O 
) AN B-AN 
approach OT B-O 
from OT B-O 
( OT B-O 
Bunescu OT B-O 
and OT B-O 
Mooney OT B-O 
, OT B-O 
2005 OT B-O 
) AN I-AN 
, OT B-O 
which OT B-O 
was OT B-O 
shown OT B-O 
to OT B-O 
give OT B-O 
good OT B-O 
re- OT B-O 

1 OT B-O 
Introduction OT B-O 
Natural OT B-O 
Language LF B-LF 
Processing LF I-LF 
( OT B-O 
NLP OT B-O 
) AN B-AN 
and OT B-O 
Machine OT B-O 
Learning LF B-LF 
( OT B-O 
ML OT B-O 
) AN I-AN 
are OT B-O 
making OT B-O 
a LF I-LF 
significant OT B-O 
impact OT B-O 
in LF I-LF 

Proceedings OT B-O 
of OT B-O 
the OT B-O 
lOth OT B-O 
International OT B-O 
Conference OT B-O 
on LF B-LF 
Computational OT B-O 
Linguistics LF I-LF 
( OT B-O 
COLING-84 OT B-O 
) AN B-AN 
. OT B-O 
Stanford OT B-O 

for OT B-O 
the OT B-O 
three OT B-O 
sponsoring OT B-O 
agencies OT B-O 
. OT B-O 
The OT B-O 
TIPSTER OT B-O 
Research LF B-LF 
and LF I-LF 
Evaluation LF I-LF 
Committee LF I-LF 
( OT B-O 
REC AN B-AN 
) OT B-O 
was OT B-O 
charged OT B-O 
with OT B-O 
oversight OT B-O 
responsibility OT B-O 
of OT B-O 
the OT B-O 
15 OT B-O 

above OT B-O 
. OT B-O 
Iconic LF B-LF 
Inflectional LF I-LF 
Classes LF I-LF 
( OT B-O 
IICs AN B-AN 
) OT B-O 
are OT B-O 
ICs AN I-AN 
that OT B-O 
are OT B-O 
manually OT B-O 
fully OT B-O 
annotated OT B-O 
, OT B-O 
i.e. OT B-O 
, OT B-O 
they OT B-O 
have OT B-O 
all OT B-O 
the OT B-O 
tem- OT B-O 

probabilities OT B-O 
. OT B-O 
Analysis OT B-O 
showed OT B-O 
that OT B-O 
the OT B-O 
correct OT B-O 
tag OT B-O 
most OT B-O 
fre- OT B-O 
quently OT B-O 
missing OT B-O 
from OT B-O 
the OT B-O 
lattice OT B-O 
was OT B-O 
the OT B-O 
DT AN B-AN 
( OT B-O 
determiner LF B-LF 
) OT B-O 
tag OT B-O 
. OT B-O 

ing LF B-LF 
. OT B-O 
In OT B-O 
Proceedings OT B-O 
of OT B-O 
the OT B-O 
A LF I-LF 
CL AN B-AN 
Fifth OT B-O 
Conference OT B-O 
on OT B-O 
Applied LF I-LF 
Natural LF I-LF 
Language LF I-LF 
Processing LF I-LF 
( OT B-O 
ANLP AN I-AN 
) OT B-O 
, OT B-O 
pages OT B-O 
139-146 OT B-O 
, OT B-O 
Washington OT B-O 
, OT B-O 
DC AN B-AN 
. OT B-O 

tion LF B-LF 
of OT B-O 
the OT B-O 
reference OT B-O 
xamples OT B-O 
takes OT B-O 
place OT B-O 
. OT B-O 
Translation LF I-LF 
Memories LF I-LF 
( OT B-O 
TMs AN B-AN 
) OT B-O 
are OT B-O 
such OT B-O 
purely OT B-O 
memory OT B-O 
based OT B-O 
MT-systems OT B-O 
. OT B-O 

discourses OT B-O 
presented OT B-O 
to OT B-O 
the OT B-O 
human OT B-O 
subjects OT B-O 
. OT B-O 
6.1 OT B-O 
Semantically LF B-LF 
Slanted LF I-LF 
Discourse LF I-LF 
( OT B-O 
SSD AN B-AN 
) OT B-O 
Methodology OT B-O 
: OT B-O 
The OT B-O 
Motivation OT B-O 
for OT B-O 
the OT B-O 
First OT B-O 
Part OT B-O 

We OT B-O 
integrate OT B-O 
two OT B-O 
sets OT B-O 
of OT B-O 
linguistic OT B-O 
features OT B-O 
into OT B-O 
a LF B-LF 
maximum OT B-O 
entropy LF I-LF 
( OT B-O 
MaxEnt OT B-O 
) AN I-AN 
model OT B-O 
and OT B-O 
develop OT B-O 
aMaxEnt-based OT B-O 
binary OT B-O 
classifier OT B-O 
to OT B-O 
predict OT B-O 
the OT B-O 
cat- OT B-O 

quences OT B-O 
here OT B-O 
) OT B-O 
. OT B-O 
1PARTMOD=participial OT B-O 
modifier LF B-LF 
, OT B-O 
PREP=prepositional OT B-O 
modifier LF I-LF 
, OT B-O 
POBJ=object OT B-O 
of LF B-LF 
preposition LF I-LF 
. OT B-O 

middle OT B-O 
value OT B-O 
of OT B-O 
6.5 OT B-O 
, OT B-O 
was OT B-O 
tested OT B-O 
. OT B-O 
The OT B-O 
Lexile-like OT B-O 
measure OT B-O 
( OT B-O 
LX AN B-AN 
) OT B-O 
used OT B-O 
the OT B-O 
same OT B-O 
two OT B-O 
features OT B-O 
as OT B-O 
the OT B-O 
Lexile LF B-LF 
measure OT B-O 
: OT B-O 
mean OT B-O 
log OT B-O 
frequency OT B-O 

With OT B-O 
respect OT B-O 
to OT B-O 
the OT B-O 
EUROTRA LF B-LF 
MT AN B-AN 
system OT B-O 
this OT B-O 
has OT B-O 
important OT B-O 
implications OT B-O 
for OT B-O 
the OT B-O 
translation OT B-O 
between OT B-O 
the OT B-O 
syntactic OT B-O 
dependency OT B-O 
level OT B-O 
- OT B-O 
the OT B-O 
EUROTRA LF I-LF 
Relational LF I-LF 
Structure LF I-LF 
( OT B-O 
ERS AN B-AN 
) OT B-O 
and OT B-O 
the OT B-O 
semant OT B-O 
ic OT B-O 
level OT B-O 
- OT B-O 
the OT B-O 
in LF B-LF 
ter LF I-LF 
face LF I-LF 
St LF I-LF 
ructure LF I-LF 
( OT B-O 
IS AN B-AN 
) OT B-O 
. OT B-O 

Proceedings OT B-O 
of OT B-O 
the OT B-O 
Thirteenth OT B-O 
Conference OT B-O 
on LF B-LF 
Computational OT B-O 
Natural LF I-LF 
Language LF I-LF 
Learning LF I-LF 
( LF I-LF 
CoNLL OT B-O 
) AN B-AN 
: AN I-AN 
Shared OT B-O 
Task OT B-O 
, OT B-O 
pages OT B-O 
49 OT B-O 
? OT B-O 
54 OT B-O 
, OT B-O 
Boulder OT B-O 
, OT B-O 
Colorado OT B-O 
, OT B-O 
June OT B-O 
2009 OT B-O 
. OT B-O 

 OT B-O 
 OT B-O 
 OT B-O 
 OT B-O 
 OT B-O 
 OT B-O 
 OT B-O 
Figure OT B-O 
3 OT B-O 
: OT B-O 
Scored OT B-O 
dependency OT B-O 
forest OT B-O 
2.5 OT B-O 
Semantic LF B-LF 
Dependency LF I-LF 
Graph LF I-LF 
( OT B-O 
SDG AN B-AN 
) OT B-O 
The OT B-O 
SDG AN I-AN 
is OT B-O 
a LF I-LF 
semantic-label OT B-O 
word OT B-O 
DG AN B-AN 
designed OT B-O 

2.4 OT B-O 
Stanford OT B-O 
Parser LF B-LF 
The OT B-O 
Stanford OT B-O 
Parser LF I-LF 
( OT B-O 
SP OT B-O 
) AN B-AN 
is OT B-O 
an LF I-LF 
unlexicalized OT B-O 
parser OT B-O 
that OT B-O 
rivals OT B-O 
state-of-the-art OT B-O 
lexical- OT B-O 

attributes OT B-O 
of OT B-O 
the OT B-O 
observation OT B-O 
vectors OT B-O 
and OT B-O 
a LF B-LF 
specific OT B-O 
label OT B-O 
) OT B-O 
.we OT B-O 
can OT B-O 
represent OT B-O 
the OT B-O 
input-output OT B-O 
pairs OT B-O 
via OT B-O 
joint LF I-LF 
feature LF I-LF 
map LF I-LF 
( OT B-O 
JFM AN B-AN 
) OT B-O 
1 OT B-O 

tence OT B-O 
in OT B-O 
Japanese OT B-O 
; OT B-O 
N OT B-O 
= OT B-O 
noun LF B-LF 
, OT B-O 
TOP AN B-AN 
= OT B-O 
topic LF B-LF 
marker OT B-O 
, OT B-O 
ADV AN B-AN 
= OT B-O 
adverbial LF B-LF 
particle OT B-O 
, OT B-O 
ADJ AN B-AN 
= OT B-O 
adjective LF B-LF 
, OT B-O 
COP AN B-AN 
= OT B-O 
copula LF B-LF 
, OT B-O 
EXCL AN B-AN 
= OT B-O 
exclamation LF B-LF 
mark OT B-O 
. OT B-O 

a OT B-O 
question OT B-O 
written OT B-O 
in LF B-LF 
natural OT B-O 
language OT B-O 
is OT B-O 
called OT B-O 
? OT B-O 
Question LF I-LF 
Answering LF I-LF 
? OT B-O 
( OT B-O 
QA AN B-AN 
) OT B-O 
, OT B-O 
and OT B-O 
has OT B-O 
gotten OT B-O 
a OT B-O 
lot OT B-O 
of OT B-O 
attention OT B-O 
recently OT B-O 
. OT B-O 

In OT B-O 
Proceedings OT B-O 
of OT B-O 
the OT B-O 
3rd OT B-O 
International OT B-O 
Conference OT B-O 
on OT B-O 
Language OT B-O 
Resources LF B-LF 
and OT B-O 
Evaluation OT B-O 
( OT B-O 
LREC OT B-O 
) AN B-AN 
, OT B-O 
pages OT B-O 
1698 OT B-O 
? OT B-O 
1703 OT B-O 
. OT B-O 

protein OT B-O 
interaction OT B-O 
as OT B-O 
an OT B-O 
example OT B-O 
. OT B-O 
In OT B-O 
Proceedings OT B-O 
of OT B-O 
the OT B-O 
Pacific LF B-LF 
Symposium LF I-LF 
on LF I-LF 
Biocomputing LF I-LF 
( OT B-O 
PSB AN B-AN 
) OT B-O 
, OT B-O 
Hawaii OT B-O 
, OT B-O 
USA AN B-AN 
. OT B-O 

3 OT B-O 
Objective OT B-O 
SDS OT B-O 
( OT B-O 
Spoken OT B-O 
dialogue LF B-LF 
system LF I-LF 
) LF I-LF 
researchers OT B-O 
have OT B-O 
addressed OT B-O 
several OT B-O 
practical OT B-O 
challenges OT B-O 
of OT B-O 
apply- OT B-O 

tage OT B-O 
of OT B-O 
the OT B-O 
OpenCCG OT B-O 
realizer OT B-O 
? OT B-O 
s LF B-LF 
ability OT B-O 
to OT B-O 
generate OT B-O 
from OT B-O 
disjunctive OT B-O 
logical LF I-LF 
forms LF I-LF 
( OT B-O 
DLFs OT B-O 
) AN I-AN 
, OT B-O 
i.e OT B-O 
. OT B-O 
packed OT B-O 
semantic OT B-O 
dependency OT B-O 
graphs OT B-O 
( OT B-O 
White OT B-O 
, OT B-O 
2004 OT B-O 
; OT B-O 
White OT B-O 
, OT B-O 

2http OT B-O 
: OT B-O 
//www.statmt.org/wmt12/ OT B-O 
by OT B-O 
filling OT B-O 
in LF B-LF 
lexical OT B-O 
gaps OT B-O 
in LF I-LF 
resource-poor OT B-O 
languages OT B-O 
with OT B-O 
the OT B-O 
aid OT B-O 
of OT B-O 
Machine LF I-LF 
Translation LF I-LF 
( OT B-O 
MT AN B-AN 
) OT B-O 
. OT B-O 

2010 OT B-O 
) OT B-O 
. OT B-O 
Alternatively OT B-O 
, OT B-O 
iteratively OT B-O 
optimized OT B-O 
embeddings OT B-O 
such OT B-O 
as OT B-O 
Skip LF B-LF 
Gram LF I-LF 
( OT B-O 
SG AN B-AN 
) OT B-O 
model OT B-O 
( OT B-O 
Mikolov OT B-O 
et OT B-O 
al. OT B-O 
, OT B-O 

and OT B-O 
EN-DE AN B-AN 
) OT B-O 
with OT B-O 
token OT B-O 
frequency OT B-O 
, OT B-O 
sense OT B-O 
distribution OT B-O 
and OT B-O 
most OT B-O 
frequent OT B-O 
translations OT B-O 
ordered OT B-O 
by OT B-O 
the OT B-O 
corresponding OT B-O 
senses OT B-O 
( OT B-O 
T AN B-AN 
= OT B-O 
temporal LF B-LF 
, OT B-O 
CO AN B-AN 
= OT B-O 
concession LF B-LF 
, OT B-O 
CT AN I-AN 
= OT B-O 
contrast LF B-LF 
) OT B-O 
. OT B-O 

nications OT B-O 
Advancement OT B-O 
Foundation OT B-O 
, OT B-O 
Japan OT B-O 
, OT B-O 
in OT B-O 
part OT B-O 
by OT B-O 
the OT B-O 
Center OT B-O 
for OT B-O 
Intelligent OT B-O 
Information OT B-O 
Retrieval OT B-O 
, OT B-O 
and OT B-O 
in OT B-O 
part OT B-O 
by OT B-O 
the OT B-O 
Defense LF B-LF 
Advanced LF I-LF 
Research LF I-LF 
Projects LF I-LF 
Agency LF I-LF 
( OT B-O 
DARPA AN B-AN 
) OT B-O 
, OT B-O 
USA AN B-AN 
under OT B-O 
contract OT B-O 
number OT B-O 
HR0011-06-C-0023 OT B-O 
. OT B-O 

Rule-Based OT B-O 
Machine LF B-LF 
Translation LF I-LF 
( OT B-O 
MT AN B-AN 
) OT B-O 
( OT B-O 
Hutchins OT B-O 
and OT B-O 
Somers OT B-O 
, OT B-O 
1992 OT B-O 
) OT B-O 
requires OT B-O 
large-scale OT B-O 
knowledge OT B-O 
to OT B-O 
analyze OT B-O 
both OT B-O 
source LF B-LF 
language LF B-LF 
( OT B-O 
SL AN B-AN 
) OT B-O 
sentences OT B-O 
and OT B-O 
target LF I-LF 
language LF I-LF 
( OT B-O 
TL AN B-AN 
) OT B-O 
sentences OT B-O 
. OT B-O 

3 OT B-O 
CLaC AN B-AN 
Methodology OT B-O 
Preprocessing OT B-O 
consists OT B-O 
of LF B-LF 
tokenizing OT B-O 
, OT B-O 
lemmatizing OT B-O 
, OT B-O 
sentence OT B-O 
splitting OT B-O 
, OT B-O 
and OT B-O 
part LF I-LF 
of LF I-LF 
speech LF I-LF 
( OT B-O 
POS AN B-AN 
) OT B-O 
tagging OT B-O 
. OT B-O 

performs OT B-O 
two OT B-O 
vital OT B-O 
functions OT B-O 
in OT B-O 
the OT B-O 
case OT B-O 
of OT B-O 
our OT B-O 
Japanese OT B-O 
processing OT B-O 
: OT B-O 
1 OT B-O 
CN AN B-AN 
= OT B-O 
common LF B-LF 
noun LF I-LF 
; OT B-O 
SN OT B-O 
= OT B-O 
sa-inflection OT B-O 
noun LF I-LF 
( OT B-O 
nominalized OT B-O 
.verb OT B-O 
) OT B-O 
; OT B-O 
VB AN B-AN 
= OT B-O 
verb LF B-LF 
; OT B-O 
VSUF AN B-AN 
= OT B-O 
verb LF I-LF 
suffix LF I-LF 
; OT B-O 
CM AN B-AN 
= OT B-O 

Before OT B-O 
we LF B-LF 
discuss OT B-O 
the OT B-O 
significant OT B-O 
sentence OT B-O 
in OT B-O 
answer LF I-LF 
mails OT B-O 
, OT B-O 
we LF I-LF 
classified OT B-O 
answer LF I-LF 
mails OT B-O 
into OT B-O 
three OT B-O 
types OT B-O 
: OT B-O 
( OT B-O 
1 OT B-O 
) AN B-AN 
direct OT B-O 
answer LF I-LF 
( OT B-O 
DA OT B-O 
) AN I-AN 
mail OT B-O 
, OT B-O 
( OT B-O 
2 OT B-O 
) AN I-AN 
questioner OT B-O 
? LF B-LF 
s LF I-LF 
reply LF I-LF 
( OT B-O 
QR OT B-O 
) AN I-AN 
mail OT B-O 
, OT B-O 
and OT B-O 
( OT B-O 
3 OT B-O 
) AN I-AN 
the OT B-O 
others OT B-O 
. OT B-O 

This OT B-O 
paper OT B-O 
examines OT B-O 
the OT B-O 
processing OT B-O 
predictions OT B-O 
of OT B-O 
the OT B-O 
ERH AN B-AN 
on OT B-O 
a LF B-LF 
systematic OT B-O 
class OT B-O 
of OT B-O 
relative OT B-O 
clause OT B-O 
types OT B-O 
, OT B-O 
the OT B-O 
Accessibility LF I-LF 
Hierarchy LF I-LF 
( OT B-O 
AH AN B-AN 
) OT B-O 
shown OT B-O 
in OT B-O 
figure OT B-O 
1 OT B-O 
. OT B-O 

person OT B-O 
names OT B-O 
, OT B-O 
organization OT B-O 
names OT B-O 
, OT B-O 
location OT B-O 
names OT B-O 
, OT B-O 
etc OT B-O 
. OT B-O 
The OT B-O 
template LF B-LF 
element LF I-LF 
( OT B-O 
TE AN B-AN 
) OT B-O 
task OT B-O 
extracts OT B-O 
information OT B-O 
centered OT B-O 
around OT B-O 
an OT B-O 
entity OT B-O 
, OT B-O 
like OT B-O 
the OT B-O 
acronym OT B-O 
, OT B-O 

We OT B-O 
use OT B-O 
multiple OT B-O 
epochs OT B-O 
of OT B-O 
minibatch OT B-O 
stochastic OT B-O 
gradient OT B-O 
descent OT B-O 
and OT B-O 
update OT B-O 
all OT B-O 
parameters OT B-O 
to OT B-O 
minimize OT B-O 
the OT B-O 
negative LF B-LF 
log LF I-LF 
likelihood LF I-LF 
( OT B-O 
NLL AN B-AN 
) OT B-O 
of OT B-O 
our OT B-O 
training OT B-O 
set OT B-O 
. OT B-O 

the OT B-O 
MDL AN B-AN 
methods OT B-O 
. OT B-O 
ConVote LF B-LF 
( OT B-O 
CONVOTE AN B-AN 
) OT B-O 
Our OT B-O 
second OT B-O 
dataset OT B-O 
is OT B-O 
taken OT B-O 
from OT B-O 
segments OT B-O 
of OT B-O 
speech OT B-O 
from OT B-O 
United OT B-O 
States OT B-O 

We OT B-O 
however OT B-O 
noticed OT B-O 
