ID	text	acronyms	long-forms	acronyms-text	long-forms-text
17	In 2013, IEO was a contributing partner in the first joint evaluation of joint gender programmes in the United Nations system.  Starting in 2012, seven partners - UNDP, UNFPA, the United Nations Children's Fund, the United Nations Entity for Gender Equality and Empowerment of Women (UN-Women), the Millennium Development Goal Achievement Fund and the Governments of Norway and Spain - came together to commission and oversee the reporting effort. 	[[284, 292], [9, 12], [163, 167], [169, 174]]	[[216, 282]]	['UN-Women', 'IEO', 'UNDP', 'UNFPA']	['United Nations Entity for Gender Equality and Empowerment of Women']
18	Korea Testing & Research Institute (KTR)a 1, 4, 5, 11 and 13 Korea Energy Management Corporation (KEMCO)c Perry Johnson Registrars Carbon Emissions Services (PJRCES)b	[[98, 103], [36, 39], [158, 164]]	[[61, 96], [0, 34], [106, 156]]	['KEMCO', 'KTR', 'PJRCES']	['Korea Energy Management Corporation', 'Korea Testing & Research Institute', 'Perry Johnson Registrars Carbon Emissions Services']
19	 63. In 2011, the Council approved plans of work for exploration for polymetallic nodules by Nauru Ocean Resources Inc. (NORI) (Nauru) and Tonga Offshore Mining Ltd. (TOML) (Tonga). 	[[121, 125], [167, 171], [174, 179], [128, 133]]	[[93, 119], [139, 165]]	['NORI', 'TOML', 'Tonga', 'Nauru']	['Nauru Ocean Resources Inc.', 'Tonga Offshore Mining Ltd.']
20	Expenditure for the period from 1 to 31 July 2008 as at 30 June 2009 a Represents $105,010,000 authorized under General Assembly resolution 62/259 of 20 June 2008, which was reduced by $63,351,000 under Assembly resolution 63/257 of 24 December 2008. United Nations Mission in Liberia (UNMIL)a Total expenditure (schedule 12.1)	[[286, 291]]	[[251, 284]]	['UNMIL']	['United Nations Mission in Liberia']
21	4.12. Consideration of draft amendments to existing Regulations submitted by GRRF The World Forum will consider the following proposal and may decide to submit it to the Administrative Committee of the 1958 Agreement (AC.1) with recommendations on its adoption by vote. 	[[218, 222], [77, 81]]	[[170, 206]]	['AC.1', 'GRRF']	['Administrative Committee of the 1958']
22	Strategic Partnership Division 702. In paragraph 16, the United Nations Entity for Gender Equality and the Empowerment of Women (UN-Women) agreed with the Board's recommendation that it strengthen its resources mobilization activities by expanding and diversifying its resource base through: (a) strengthening and expanding partnerships with bilateral and multilateral donors; (b) developing regionally based fundraising expertise; and (c) approaching socially responsible private sector entities, women's groups and individuals. 	[[129, 137]]	[[57, 127]]	['UN-Women']	['United Nations Entity for Gender Equality and the Empowerment of Women']
23	 S.D.N.Y. 2013) [keywords: presumption-habitual residence; centre of main interests (COMI)-timing; establishment] This application for recognition in the United States of America of the personal insolvency proceeding the debtor had commenced in London was contested by a major creditor who had sued the debtor in the United States and sought to avoid the stay that would arise automatically on recognition of the English proceedings under Chapter 15 of the United States Bankruptcy Code (enacting the Model Law in the United States).	[[85, 89]]	[[59, 83]]	['COMI']	['centre of main interests']
24	Ms. Sumi (Japan) said that her Government was boosting its international efforts on behalf of women.  In addition to ongoing efforts to develop an action plan on Security Council resolution 1325 (2000), it had implemented measures to prevent sexual violence in conflict and assist victims in several countries and was cooperating closely in that connection with the United Nations Entity for Gender Equality and the Empowerment of Women (UNWomen), the International Criminal Court and the Special Representative on Sexual Violence in Conflict. 	[[438, 445]]	[[366, 436]]	['UNWomen']	['United Nations Entity for Gender Equality and the Empowerment of Women']
25	The latest report of the Secretary-General to the Council on the United Nations operation in Cyprus was issued on 27 May 2005 (S/2005/353).  At its twenty-ninth to thirty-fourth and thirty-seventh sessions, the General Assembly considered the item (resolutions 3212 (XXIX), 3395 (XXX), 31/12, 32/15, 33/15, 34/30 and 37/253 and decisions 31/403, 32/404, 33/402, 34/408 and 37/455). 	[]	[]	[]	[]
26	SAT was engaged in the exploration, production, refining and distribution of Saudi Arabia’s 50 per cent share of the onshore hydrocarbon reserves in the PNZ.  The remaining 50 per cent interest in the hydrocarbon reserves of the PNZ is held onshore by Kuwait Oil Company (“KOC”), and offshore by the Arabian Oil. 	[[273, 276], [0, 3], [153, 156], [229, 232]]	[[252, 270]]	['KOC', 'SAT', 'PNZ', 'PNZ']	['Kuwait Oil Company']
27	One P-5 post and one P-3 have been redeployed from the secretariat of the Executive Committee on Peace and Security, Department of Political Affairs, and the General Legal Division, Office of Legal Affairs, respectively. One P-5 post has been redeployed from the Development Information Services Division, Economic Commission for Africa. One P-4 post and one P-2 post have been redeployed from the Emerging Social Issues Division and the Poverty and Development Division respectively, within the Economic and Social Commission for Asia and the Pacific (ESCAP); (d) One P-4 post has been redeployed from the Division for Sustainable Development, Department of Economic and Social Affairs, to the Administrative Law Unit, Office of Human Resources Management, to assist in handling the large number of disciplinary cases that have been referred to the Office.	[[553, 558]]	[[496, 551]]	['ESCAP']	['Economic and Social Commission for Asia and the Pacific']
28	The Committee heard statements in the general debate on agenda item 7 made by the representatives of Benin, Canada, Costa Rica, the Dominican Republic, El Salvador, Greece (on behalf of the European Union, and the acceding countries of Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia, the associated countries of Bulgaria, Romania and Turkey and EFTA country, member of the European Economic Area, Iceland, which aligning themselves with the statement,) Japan, Mexico, Namibia, New Zealand and Venezuela.  The representatives of the International Labour Organization (ILO), the Office of High Commissioner for Human Rights (HCHR) and the South African Human Rights Commission (on behalf of National Human Rights Institutions (NHRI)) made statements. 	[[633, 636], [689, 693], [791, 795], [411, 415]]	[[598, 631], [653, 687], [755, 789]]	['ILO', 'HCHR', 'NHRI', 'EFTA']	['International Labour Organization', 'High Commissioner for Human Rights', 'National Human Rights Institutions']
29	"1 (212) 499-5583).]  Panel discussion on ""Being gay, lesbian, bi-sexual and transgender in religious communities: A faith-based and human rights perspective"" (co-organized by the Permanent Mission of Israel and the Unitarian Universalist United Nations Office (UU-UNO)) Thursday, 4 April 2013, from 15:00 to 17:00, in Conference Room 2 (NLB)."	[[261, 267], [337, 340]]	[[215, 259]]	['UU-UNO', 'NLB']	['Unitarian Universalist United Nations Office']
30	 109. The National Commission for the Prevention and Eradication of Child Labour and the Protection of Adolescent Employment (CONAETI-Py) began a review of the National Plan for the Prevention and Elimination of Child Labour and the Protection of Adolescent Workers in 2009, through consultations with children and adolescents, as well as adults, from various organizations and movements, with a view to raising the issue of child labour, obtaining their input and ensuring that they participated fully and played a leading role in the review process. 	[[126, 136]]	[[10, 124]]	['CONAETI-Py']	['National Commission for the Prevention and Eradication of Child Labour and the Protection of Adolescent Employment']
31	IMPEL was represented at a workshop organized by the Secretariat for countries of Central and Eastern Europe in October 2006.  IMPEL, and the countries participating in the IMPEL Transfrontier Shipment (IMPEL-TFS) project, also provided valuable information that was used in the Training Manual for the Enforcement of Laws Implementing the Basel Convention: Guidance for Safe and Effective Detection, Investigation and Prosecution of Illegal Traffic in Hazardous and other Wastes. 	[[203, 212], [0, 5], [127, 132]]	[[173, 201]]	['IMPEL-TFS', 'IMPEL', 'IMPEL']	['IMPEL Transfrontier Shipment']
32	Global forum of non-governmental organizations on the review of the twentieth special session of the General Assembly Assessment of progress towards the goals set at the twentieth special session of the General Assembly Provision, maintenance and support of the electronic Programme and Financial Information Management System (ProFi) for United Nations Mine Action Service United Nations Office at Vienna	[[328, 333]]	[[273, 308]]	['ProFi']	['Programme and Financial Information']
33	To respond to growing demands for urban environmental planning and management expertise, UN-Habitat has been conducting capacity-building activities through a wide range of national training institutions in China, Cuba, Egypt, India, Nigeria, Peru, the Philippines, Senegal, Sri Lanka, Thailand, the United Republic of Tanzania and Zambia.  UN-Habitat is spearheading the development of the Sustainable Urban Development Network (SUD-Net), an innovative network focusing on promoting interdisciplinary approaches to sustainable urban development. 	[[430, 437], [89, 99], [341, 351]]	[[391, 428]]	['SUD-Net', 'UN-Habitat', 'UN-Habitat']	['Sustainable Urban Development Network']
34	(ii) Request and aggregate data from the NFCs in all recent grid systems used by EMEP deposition models; (iii) Ensure harmonization of data compatibility, processes and synergies between the NFCs and experts working with the EU Habitat Directive; (iv) Complement results for NFCs on site-specific dynamic modelling of vegetation changes, including updated version of the extended very simple dynamic model (VSD+) and increased number of sites; (d) The twenty-seventh meeting of the Programme Task Force and the twenty-first CCE workshop, to be held from 18 to 22 April 2011 in Bilthoven, the Netherlands, and the submission of the two respective reports.	[[407, 411], [524, 527], [41, 45], [191, 195], [81, 85], [225, 227], [275, 279], [228, 235]]	[[380, 405]]	['VSD+', 'CCE', 'NFCs', 'NFCs', 'EMEP', 'EU', 'NFCs', 'Habitat']	['very simple dynamic model']
35	Methodological issues under the Kyoto Protocol.  Implications of the establishment of new hydrochlorofluorocarbon-22 (HCFC-22) facilities seeking to obtain certified emission reductions for the destruction of hydrofluorocarbon-23 (HFC-23). Draft conclusions proposed by the Chair	[[118, 125], [231, 237]]	[[90, 116], [209, 229]]	['HCFC-22', 'HFC-23']	['hydrochlorofluorocarbon-22', 'hydrofluorocarbon-23']
36	Expert on contract with the Commonwealth Fund for Technical Cooperation, to the Government of Saint Lucia (October'96-October'99) Managed the National GPS survey of Saint Lucia (1999-2000) Director of the Lands and Surveys Division and Commissioner of State Lands, Government of Trinidad and Tobago (G.O.T.T.) (1989-1997) Managed the national GP control survey of Trinidad and Tobago. (	[[300, 308], [343, 345], [151, 154]]	[[265, 298]]	['G.O.T.T.', 'GP', 'GPS']	['Government of Trinidad and Tobago']
37	Friday, 28 September 2012, from 10:00 to 13:00 in Conference Room 3 (NLB).  Zone of Peace and Cooperation of the South Atlantic (ZPCSA) (organized by the Permanent Mission of Uruguay) Friday, 28 September 2012, from 15:00 to 18:00 in Conference Room D (NLB).	[[129, 134], [253, 256], [69, 72]]	[[76, 127]]	['ZPCSA', 'NLB', 'NLB']	['Zone of Peace and Cooperation of the South Atlantic']
38	"At its first session in 1999, the Committee recognized that the EDI used in earlier reviews had reflected some elements of vulnerability, but it felt that this reflection was inadequate to cover the Committee's notion of vulnerability as ""structural vulnerability"", defined as the risk of being negatively affected by unforeseen events beyond the control of a country.  The Committee, therefore, proposed that the former EDI be replaced by an economic vulnerability index (EVI).27 107."	[[473, 476], [64, 67], [421, 424]]	[[443, 471]]	['EVI', 'EDI', 'EDI']	['economic vulnerability index']
39	 Dates of Meetings involving GRE Experts: 19/05/2005 1st informal meeting of GRE experts on Emergency Stop Signals (GRE-ESS), Brussels 20/05/2005 1st informal joint meeting of the GRE-GRRF experts on ESS, Brussels	[[116, 123], [180, 188], [200, 203], [29, 32]]	[[77, 114]]	['GRE-ESS', 'GRE-GRRF', 'ESS', 'GRE']	['GRE experts on Emergency Stop Signals']
40	In order to promote networking, share national experiences, facilitate information flows and increase the impact of its work, the Commission is currently establishing an international network of science and technology institutions, including national science and technology commissions and other stakeholders in development.  Members of the Network will interact on-line through the Science and Technology for Development Network (STDev). 	[[431, 436]]	[[383, 421]]	['STDev']	['Science and Technology for Development']
41	The scheme extends the Government's 6 months' severance payments to ex-soldiers for a further 18 months.  A total of US$ 18.1 million has been pledged to this United Nations Development Programme (UNDP)-administered fund by donors who are convinced that a longer reintegration period for the ex-soldiers is prudent. 	[[197, 201], [117, 120]]	[[159, 195]]	['UNDP', 'US$']	['United Nations Development Programme']
42	 B. Refugee Children and Adolescents The Director of the Division of Operational Support (DOS) introduced the document EC/50/SC/CRP.7 entitled, Refugee Children and Adolescents: a Progress Report. 	[[90, 93]]	[[57, 88]]	['DOS']	['Division of Operational Support']
43	Recommendations 65 29 1. This document is a synthesis and preliminary analysis of information submitted by Parties and observers on operational objective 4 (OO 4) of the 10-year strategic plan and framework to enhance the implementation of the Convention (The Strategy): capacity-building. 	[[157, 161]]	[[132, 155]]	['OO 4']	['operational objective 4']
44	"1 (203) 918-7027; e-mail virginiaott@gmail.com).]  UNU Lecture Series ""Emerging Thinking on Global Issues: Explaining the Financial Crisis and What It Means for the Future of Global Development"" (organized by the United Nations University Office in New York (UNU-ONY)) Tuesday, 24 February 2009, from 3 to 4.30 p.m. in the Dag Hammarskjöld Library Auditorium."	[[259, 266], [51, 54], [311, 315]]	[[213, 257]]	['UNU-ONY', 'UNU', 'p.m.']	['United Nations University Office in New York']
45	(c) Strengthening of UNEP's work with sport organizations.  Through the Michezo programme, UNEP will strengthen its relationship with the International Olympic Committee (IOC) and forge similar partnerships with other sport federations and associations;. 	[[171, 174], [91, 95], [21, 27]]	[[138, 169]]	"['IOC', 'UNEP', ""UNEP's""]"	['International Olympic Committee']
46	Calculation of the mass flow The particulate masses MPT,cold and MPT,hot (g/test) shall be calculated as follows: MSAM = mass of diluted exhaust gas taken from the dilution tunnel for collecting particulates (kg) and	[[114, 118], [209, 211], [65, 68], [74, 80], [52, 55]]	[[121, 207]]	['MSAM', 'kg', 'MPT', 'g/test', 'MPT']	['mass of diluted exhaust gas taken from the dilution tunnel for collecting particulates']
47	Their global warming potential (GWP) could be expressed in GWP units of CO2 which serves as a denominator.  Thus, Tables 1-3 deal with CO2 emissions and total equivalent CO2 emissions (TECO2). 	[[185, 190], [135, 138], [32, 35], [59, 62], [72, 75]]	[[153, 173], [6, 30]]	['TECO2', 'CO2', 'GWP', 'GWP', 'CO2']	['total equivalent CO2', 'global warming potential']
48	"WORKING GROUP 43 13 1. At its twentieth session, the Working Group on Indigenous Populations (WGIP) decided to highlight the issue of ""indigenous peoples and globalization"" at its next session in 2003. "	[[94, 98]]	[[53, 92]]	['WGIP']	['Working Group on Indigenous Populations']
49	The Cultural Agreements help in the establishment of new relations, strengthening old and historic relationships and for reorienting existing relationships.  Cultural Agreements lay down the broad principles of cooperation and are implemented through Cultural Exchange Programmes (CEPs.), which are framed on the basis of mutual understanding.	[[281, 286]]	[[251, 279]]	['CEPs.']	['Cultural Exchange Programmes']
50	 1. The implementation of the new regional architecture means the beginning of a new way of working for the United Nations Entity for Gender Equality and the Empowerment of Women (UN-Women). 	[[180, 188]]	[[108, 178]]	['UN-Women']	['United Nations Entity for Gender Equality and the Empowerment of Women']
51	"Several key recommendations emerged from the discussion: (a) Member States and the RECs were requested to: (i) continue to support the ""Assessing Regional Integration in Africa (ARIA)"" series of reports, which provided an assessment of Africa's integration performance; (ii) take note of the recommendations of COMAI IV, especially those related to the adoption of the MIP and its integration into national development plans; (iii) support the mainstreaming of regional integration issues into national policies to bring greater convergence to national strategies, subregional policies and regional objectives. "	[[178, 182], [311, 316], [317, 319], [83, 87], [369, 372]]	[[136, 176]]	['ARIA', 'COMAI', 'IV', 'RECs', 'MIP']	['Assessing Regional Integration in Africa']
52	MSAM = MTOT - MSEC MTOT = mass of double diluted exhaust gas through particulate filter (kg) MSEC = mass of secondary dilution air (kg) If the particulate background level of the dilution air is determined in accordance with paragraph 4.4.4.	[[93, 97], [0, 4], [7, 11], [14, 18], [19, 23], [89, 91], [132, 134]]	[[26, 87], [100, 130]]	['MSEC', 'MSAM', 'MTOT', 'MSEC', 'MTOT', 'kg', 'kg']	['mass of double diluted exhaust gas through particulate filter', 'mass of secondary dilution air']
53	The organization also seeks to provide support to the United Nations and its different agencies in carrying-out their missions and achieving their goals.  Therefore, GFDD also actively supports the United Nations Association of the Dominican Republic (UNA-DR). UNA-DR is a non-profit, nongovernmental organization dedicated to supporting and promoting the work of the United Nations in the Dominican Republic.	[[252, 258], [166, 170], [261, 267]]	[[198, 250]]	['UNA-DR', 'GFDD', 'UNA-DR']	['United Nations Association of the Dominican Republic']
54	PaaS (Platform as a Service): the eTIR international system will run on a shared platform in cloud.  SaaS (Software as a Service): the eTIR international system will be provided as a service by a cloud provider. 	[[101, 105], [0, 4], [34, 38], [135, 139]]	[[107, 128], [6, 27]]	['SaaS', 'PaaS', 'eTIR', 'eTIR']	['Software as a Service', 'Platform as a Service']
55	Policy advocacy and partnerships for children's rights Other interventions that do not fall under any of the organizational targets ORE = other resources emergency; ORR = other resources regular; RR = regular resources. 	[[132, 135], [165, 168], [196, 198]]	[[138, 163], [171, 194], [201, 218]]	['ORE', 'ORR', 'RR']	['other resources emergency', 'other resources regular', 'regular resources']
56	Bangsamoro Islamic Freedom Fighters (BIFF)a 3. Moro Islamic Liberation Front (MILF)a,:: 4.	[[78, 82], [37, 41]]	[[47, 76], [0, 35]]	['MILF', 'BIFF']	['Moro Islamic Liberation Front', 'Bangsamoro Islamic Freedom Fighters']
57	The Chair of GRSP, also chairing of the IWG on harmonization of side impact dummies, reported on the work progress of the IWG.  She informed GRSP about an upcoming meeting with ISO (23 May 2014) to reach an agreement on the availability of the full set of drawings and specifications including the user manual of the 50th percentile World Side Impact dummy (WorldSID) for the final draft addendum to the M.R.1. 	[[358, 366], [13, 17], [40, 43], [177, 180], [141, 145], [122, 125], [404, 409]]	[[333, 356]]	['WorldSID', 'GRSP', 'IWG', 'ISO', 'GRSP', 'IWG', 'M.R.1']	['World Side Impact dummy']
58	EMEP ASSESSMENT REPORT SUMMARY Prepared by the Meteorological Synthesizing Centre - West (MSC-W) in consultation with the EMEP Bureau and with the assistance of the secretariat	[[90, 95], [122, 126]]	[[47, 88]]	['MSC-W', 'EMEP']	['Meteorological Synthesizing Centre - West']
59	 51. The Centro de Archivos y Acceso a la Información Pública (Centre for Archives and Public Information (CAInfo) recommended that Act 18.381 (2008) on access to public information should be amended as regards which bodies fall within its scope. 	[[107, 113]]	[[63, 105]]	['CAInfo']	['Centre for Archives and Public Information']
60	The Working Party regretted the decision of ISO TC 104 and reiterated that the proposed ISO 45' container did not contribute to intermodal transportation and to global standardization and responded only to certain port-to-port maritime and regional interests.  For transport in most of the 55 countries of the UNECE region, the newly proposed container is inappropriate for the transport of (ISO) palletized cargo, cannot be shipped efficiently by rail and inland waterways and, as of 1 January 2007, will be banned from road transport in the 25 countries of the European Union - in line with EU Council Directive 96/53. 	[[392, 395], [310, 315], [44, 50], [88, 94], [593, 595]]	[[563, 577]]	['ISO', 'UNECE', 'ISO TC', 'ISO 45', 'EU']	['European Union']
61	 2. The European Union Agency for Fundamental Rights (EU-FRA) noted that in October 2012 Portugal acceded to the 1954 Convention Relating to the Status of Statelessness and the 1961 Convention on the Reduction of Statelessness. 	[[54, 60]]	[[8, 45]]	['EU-FRA']	['European Union Agency for Fundamental']
62	Meeting of Commonwealth Ministers Responsible for Women's Affairs (WAMM); Asia-Pacific Economic Cooperation (APEC) Gender Focal Point Network and Women Leaders' Network; Association of Southeast Asian Nations (ASEAN) Committee on Women (ACW); Women Parliamentarians of AIPA (WAIPA) Meeting, a committee of the ASEAN Inter-Parliamentary Assembly (AIPA) General Assembly;	[[210, 215], [67, 71], [109, 113], [237, 240], [269, 273], [275, 280], [310, 315], [346, 350]]	[[170, 208], [74, 107], [217, 235], [317, 344]]	['ASEAN', 'WAMM', 'APEC', 'ACW', 'AIPA', 'WAIPA', 'ASEAN', 'AIPA']	['Association of Southeast Asian Nations', 'Asia-Pacific Economic Cooperation', 'Committee on Women', 'nter-Parliamentary Assembly']
63	For further information concerning the Conference of States Parties, please contact the Secretariat for the Convention on the Rights of Persons with Disabilities, DESA (e-mails zhangg@un.org and enable@un.org); or visit United Nations Enable website (click here).  United Nations Entity for Gender Equality and the Empowerment of Women (UN-Women) Pre-session informal meeting	[[337, 345], [163, 167]]	[[265, 335]]	['UN-Women', 'DESA']	['United Nations Entity for Gender Equality and the Empowerment of Women']
64	I. Introduction 1. The present report is submitted pursuant to Security Council resolution 1871 (2009) of 30 April 2009, by which the Council extended the mandate of the United Nations Mission for the Referendum in Western Sahara (MINURSO) until 30 April 2010 and requested me to provide a report on the situation before that date. 	[[231, 238]]	[[155, 229]]	['MINURSO']	['mandate of the United Nations Mission for the Referendum in Western Sahara']
