-DOCSTART- -X- O
Cụ OT B-O 
thể OT B-O 
LDA OT B-O 
giả OT B-O 
sử OT B-O 
rằng OT B-O 
mỗi OT B-O 
văn OT B-O 
bản OT B-O 
d OT B-O 
là OT B-O 

LDA OT B-O 
có OT B-O 
thể OT B-O 
không OT B-O 
hoạt OT B-O 
động OT B-O 
tốt OT B-O 
đối OT B-O 
với OT B-O 
các OT B-O 
văn OT B-O 
bản OT B-O 
ngắn OT B-O 
do OT B-O 
sự OT B-O 
thưa OT B-O 
thớt OT B-O 
dữ OT B-O 
liệu OT B-O 
. OT B-O 
Mô OT B-O 
hình OT B-O 
chủ OT B-O 
đề OT B-O 
Biterm OT B-O 
( OT B-O 
BTM OT B-O 
) OT B-O 
học OT B-O 
các OT B-O 
chủ OT B-O 
đề OT B-O 
bằng OT B-O 
cách OT B-O 
mô OT B-O 
hình OT B-O 
hóa OT B-O 
các OT B-O 
cặp OT B-O 
từ OT B-O 

cho OT B-O 
𝜎𝑖 OT B-O 
. OT B-O 
Hard OT B-O 
Attention OT B-O 
to OT B-O 
the OT B-O 
Task OT B-O 
( OT B-O 
HAT OT B-O 
) OT B-O 
( OT B-O 
Joan OT B-O 
Serra OT B-O 
, OT B-O 
2018 OT B-O 
) OT B-O 
xác OT B-O 
định OT B-O 
độ OT B-O 
quan OT B-O 
trọng OT B-O 
của OT B-O 
nơron OT B-O 
thông OT B-O 
qua OT B-O 
cơ OT B-O 
chế OT B-O 
hard OT B-O 
attention OT B-O 
trên OT B-O 
nơ-ron OT B-O 
sau OT B-O 
mỗi OT B-O 
tầng OT B-O 
. OT B-O 
Tại OT B-O 
mỗi OT B-O 
tầng OT B-O 
của OT B-O 
mạng OT B-O 
sẽ OT B-O 
thêm OT B-O 
vào OT B-O 
một OT B-O 
tầng OT B-O 
task OT B-O 
- OT B-O 
embedding OT B-O 
, OT B-O 
được OT B-O 
huấn OT B-O 
luyện OT B-O 
cùng OT B-O 
với OT B-O 
mạng OT B-O 
nhờ OT B-O 
sự OT B-O 
hỗ OT B-O 
trợ OT B-O 
của OT B-O 
một OT B-O 
kỹ OT B-O 

Chú OT B-O 
ý OT B-O 
rằng OT B-O 
khi OT B-O 
suy OT B-O 
diễn OT B-O 
, OT B-O 
X OT B-O 
l OT B-O 
được OT B-O 
nhân OT B-O 
với OT B-O 
µl OT B-O 
. OT B-O 
X̃i OT B-O 
= OT B-O 
Xi OT B-O 
∗ OT B-O 
µi OT B-O 
∗ OT B-O 
I OT B-O 
[ OT B-O 
pi OT B-O 
< OT B-O 
thresh OT B-O 
] OT B-O 
, OT B-O 

( OT B-O 
MLM AN B-AN 
) OT B-O 
đều OT B-O 
được OT B-O 
huấn OT B-O 
luyện OT B-O 
không OT B-O 
giám OT B-O 
sát OT B-O 
, OT B-O 
chỉ OT B-O 
yêu OT B-O 
cầu OT B-O 
dữ OT B-O 
liệu OT B-O 
đơn OT B-O 
ngữ LF B-LF 
và OT B-O 
không OT B-O 
tận OT B-O 
dụng OT B-O 
được OT B-O 
dữ OT B-O 
liệu OT B-O 
song OT B-O 
ngữ LF I-LF 
có OT B-O 
sẵn OT B-O 
. OT B-O 
Mô LF I-LF 
hình LF I-LF 
ngôn LF I-LF 
ngữ LF I-LF 
dịch LF I-LF 
( OT B-O 
TLM AN B-AN 
) OT B-O 
giúp OT B-O 
cải OT B-O 

Công OT B-O 
thức OT B-O 
tường OT B-O 
minh OT B-O 
của OT B-O 
đại OT B-O 
lượng OT B-O 
KL OT B-O 
trong OT B-O 
3.14 OT B-O 
khi OT B-O 
xét OT B-O 
các OT B-O 
wij OT B-O 
độc OT B-O 
lập OT B-O 
nhau OT B-O 
: OT B-O 
 OT B-O 
L OT B-O 

bag-of-words OT B-O 
: OT B-O 
wd OT B-O 
= OT B-O 
{ OT B-O 
wd1 OT B-O 
, OT B-O 
wd2 OT B-O 
, OT B-O 
... OT B-O 
, OT B-O 
wdNd OT B-O 
} OT B-O 
trong OT B-O 
đó OT B-O 
wdn OT B-O 
là OT B-O 
từ OT B-O 
thứ OT B-O 
n OT B-O 
trong OT B-O 
dãy OT B-O 
các OT B-O 
từ OT B-O 
của OT B-O 
văn OT B-O 
bản OT B-O 
d OT B-O 
. OT B-O 
• OT B-O 
Tập OT B-O 
văn OT B-O 
bản OT B-O 
bao OT B-O 
gồm OT B-O 
M OT B-O 
văn OT B-O 
bản OT B-O 
được OT B-O 
ký OT B-O 
hiệu OT B-O 
bởi OT B-O 
D OT B-O 
= OT B-O 
{ OT B-O 
w1 OT B-O 
, OT B-O 
w2 OT B-O 
, OT B-O 
... OT B-O 
, OT B-O 
wM OT B-O 
} OT B-O 

Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Thế OT B-O 
Linh OT B-O 
– OT B-O 
20142585 OT B-O 
– OT B-O 
K59 OT B-O 
– OT B-O 
Lớp OT B-O 
CNTT OT B-O 
– OT B-O 
TT OT B-O 
2.03 OT B-O 
49 OT B-O 
in OT B-O 
short OT B-O 

là OT B-O 
việc OT B-O 
biểu OT B-O 
diễn OT B-O 
ẩn OT B-O 
đấy OT B-O 
còn OT B-O 
giữ OT B-O 
được OT B-O 
một OT B-O 
số OT B-O 
thông OT B-O 
tin OT B-O 
nhất OT B-O 
định OT B-O 
từ OT B-O 
đầu OT B-O 
vào OT B-O 
, OT B-O 
hay OT B-O 
nói OT B-O 
cách OT B-O 
khác OT B-O 
, OT B-O 
nếu OT B-O 
ta OT B-O 
xem OT B-O 
X OT B-O 
là OT B-O 
dữ OT B-O 
liệu OT B-O 
, OT B-O 
Y OT B-O 
là OT B-O 
một OT B-O 
biểu OT B-O 
diễn OT B-O 
ẩn OT B-O 
nào OT B-O 
đó OT B-O 
mà OT B-O 
ta OT B-O 
tìm OT B-O 
được OT B-O 
, OT B-O 
thì OT B-O 
việc OT B-O 
tìm OT B-O 
ra OT B-O 
một OT B-O 
ánh OT B-O 
xạ OT B-O 
q OT B-O 
tốt OT B-O 
từ OT B-O 
X OT B-O 
đến OT B-O 
Y OT B-O 
được OT B-O 
đưa OT B-O 
về OT B-O 
nghiệm OT B-O 
của OT B-O 
bài OT B-O 

Mô OT B-O 
hình OT B-O 
đề OT B-O 
xuất OT B-O 
ITE OT B-O 
- OT B-O 
onehot OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 

Điểm OT B-O 
BLEU OT B-O 
của OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
học OT B-O 
đối OT B-O 
ngẫu OT B-O 
sử OT B-O 
dụng OT B-O 
nhiễu OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
44 OT B-O 

• OT B-O 
So OT B-O 
sánh OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
qua OT B-O 
các OT B-O 
vòng OT B-O 
lặp OT B-O 
với OT B-O 
các OT B-O 
k OT B-O 
khác OT B-O 
nhau OT B-O 
( OT B-O 
a OT B-O 
) OT B-O 
HR OT B-O 
@ OT B-O 
10 OT B-O 

Tối OT B-O 
ưu OT B-O 
hàm OT B-O 
mất OT B-O 
mát OT B-O 
: OT B-O 
Khi OT B-O 
cố OT B-O 
định OT B-O 
P OT B-O 
, OT B-O 
việc OT B-O 
tối OT B-O 
ưu OT B-O 
Q OT B-O 
được OT B-O 
đưa OT B-O 
về OT B-O 
bài OT B-O 
toán OT B-O 
tối OT B-O 
ưu OT B-O 
hàm OT B-O 

Tóm OT B-O 
lại OT B-O 
, OT B-O 
bài OT B-O 
toán OT B-O 
học OT B-O 
mô OT B-O 
hình OT B-O 
LDA OT B-O 
chính OT B-O 
là OT B-O 
việc OT B-O 
ước OT B-O 
lượng OT B-O 
các OT B-O 
biến OT B-O 
ẩn OT B-O 
khi OT B-O 
đã OT B-O 
biết OT B-O 
các OT B-O 
từ OT B-O 
của OT B-O 
các OT B-O 
văn OT B-O 
bản OT B-O 
. OT B-O 
Dưới OT B-O 
lý OT B-O 
thuyết OT B-O 
Bayesian OT B-O 
, OT B-O 
công OT B-O 
việc OT B-O 
này OT B-O 
chính OT B-O 
là OT B-O 

Tài OT B-O 
liệu OT B-O 
tham OT B-O 
khảo OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Văn OT B-O 
Sơn OT B-O 
, OT B-O 
20143863 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 
66 OT B-O 

i=1 OT B-O 
( OT B-O 
37 OT B-O 
) OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Văn OT B-O 
Sơn OT B-O 
, OT B-O 
20143863 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 

với OT B-O 
phân OT B-O 
phối OT B-O 
tiên OT B-O 
nghiệm OT B-O 
sẽ OT B-O 
được OT B-O 
lựa OT B-O 
chọn OT B-O 
. OT B-O 
Trong OT B-O 
phương OT B-O 
pháp OT B-O 
đề OT B-O 
xuất OT B-O 
𝑠𝑡 OT B-O 
, OT B-O 
𝑚𝑑 OT B-O 
có OT B-O 
thể OT B-O 
tùy OT B-O 
biến OT B-O 
lựa OT B-O 
chọn OT B-O 
từ OT B-O 
các OT B-O 
phân OT B-O 
phối OT B-O 
dạng OT B-O 
khác OT B-O 
chứ OT B-O 
không OT B-O 
hạn OT B-O 
chế OT B-O 
như OT B-O 
trong OT B-O 
VD OT B-O 

M OT B-O 
Sỗ OT B-O 
lượng OT B-O 
người OT B-O 
dùng OT B-O 
N OT B-O 

False OT B-O 
Negative OT B-O 
( OT B-O 
FN OT B-O 
) OT B-O 
: OT B-O 
Không OT B-O 
phát OT B-O 
hiện OT B-O 
được OT B-O 
ground OT B-O 
truth OT B-O 
True OT B-O 
Negative OT B-O 
( OT B-O 
TN OT B-O 
) OT B-O 
: OT B-O 
Không OT B-O 
được OT B-O 
sử OT B-O 
dụng OT B-O 
trong OT B-O 
bài OT B-O 
toán OT B-O 
này OT B-O 
. OT B-O 
Trong OT B-O 
nhiệm OT B-O 
vụ OT B-O 

sao OT B-O 
cho OT B-O 
: OT B-O 
θM OT B-O 
LE OT B-O 
= OT B-O 
argmaxθ OT B-O 
p OT B-O 
( OT B-O 
D OT B-O 
| OT B-O 
θ OT B-O 
) OT B-O 
. OT B-O 
( OT B-O 
2.9 OT B-O 
) OT B-O 

Long OT B-O 
short-term OT B-O 
memory OT B-O 
Long OT B-O 
short-term OT B-O 
memory OT B-O 
( OT B-O 
LSTM OT B-O 
) OT B-O 
được OT B-O 
giới OT B-O 
thiệu OT B-O 
lần OT B-O 
đầu OT B-O 
tiên OT B-O 
bởi OT B-O 
Hochreiter OT B-O 
và OT B-O 
Schmidhuber OT B-O 
( OT B-O 
1997 OT B-O 
) OT B-O 
[ OT B-O 
12 OT B-O 
] OT B-O 
, OT B-O 
và OT B-O 
được OT B-O 
tinh OT B-O 
chỉnh OT B-O 
cũng OT B-O 
như OT B-O 
phổ OT B-O 
biến OT B-O 
rộng OT B-O 
rãi OT B-O 
bởi OT B-O 
cộng OT B-O 
đồng OT B-O 
nghiên OT B-O 
cứu OT B-O 
. OT B-O 
LSTM OT B-O 
được OT B-O 
thiết OT B-O 
kế OT B-O 
theo OT B-O 
cách OT B-O 
đặc OT B-O 
biệt OT B-O 
với OT B-O 
memory OT B-O 
cell OT B-O 
( OT B-O 
cell OT B-O 
state OT B-O 
) OT B-O 
để OT B-O 
giải OT B-O 
quyết OT B-O 
vấn OT B-O 
đề OT B-O 
phụ OT B-O 

Layout OT B-O 
LM OT B-O 
sử OT B-O 
dụng OT B-O 
2 OT B-O 
chiến OT B-O 
lược OT B-O 
huấn OT B-O 
luyện OT B-O 
: OT B-O 
• OT B-O 
Mask OT B-O 
Visual-language OT B-O 
Model OT B-O 
( OT B-O 
MVLM OT B-O 
) OT B-O 
• OT B-O 
Multi-label OT B-O 
Document OT B-O 
Classification OT B-O 
( OT B-O 
MDC OT B-O 
) OT B-O 

Để OT B-O 
quyết OT B-O 
định OT B-O 
nơ-ron OT B-O 
nào OT B-O 
được OT B-O 
giữ OT B-O 
lại OT B-O 
, OT B-O 
VBD OT B-O 
học OT B-O 
ra OT B-O 
một OT B-O 
tỉ OT B-O 
lệ OT B-O 
drop OT B-O 
cho OT B-O 
mỗi OT B-O 
nơ-ron OT B-O 
. OT B-O 
Tỉ OT B-O 
lệ OT B-O 
này OT B-O 
mang OT B-O 
thông OT B-O 
tin OT B-O 
về OT B-O 
độ OT B-O 
quan OT B-O 
trọng OT B-O 
của OT B-O 
nơ-ron OT B-O 
đó OT B-O 
đối OT B-O 
với OT B-O 
tác OT B-O 
vụ OT B-O 

Như OT B-O 
vậy OT B-O 
, OT B-O 
có OT B-O 
vẻ OT B-O 
nhóm OT B-O 
tác OT B-O 
giả OT B-O 
không OT B-O 
quan OT B-O 
tâm OT B-O 
tới OT B-O 
độ OT B-O 
tin OT B-O 
cậy OT B-O 
của OT B-O 
dữ OT B-O 
liệu OT B-O 
trong OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Trọng OT B-O 
Nhật OT B-O 
, OT B-O 
20143316 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 
27 OT B-O 

Hình OT B-O 
21 OT B-O 
: OT B-O 
So OT B-O 
sánh OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
trên OT B-O 
bộ OT B-O 
Retailrocket OT B-O 
qua OT B-O 
từng OT B-O 
vòng OT B-O 
lặp OT B-O 
với OT B-O 
k OT B-O 
= OT B-O 
8 OT B-O 
( OT B-O 
a OT B-O 
) OT B-O 
HR OT B-O 
@ OT B-O 
10 OT B-O 

Mỗi OT B-O 
tác OT B-O 
31 OT B-O 
vụ OT B-O 
chỉ OT B-O 
cần OT B-O 
tốn OT B-O 
O OT B-O 
( OT B-O 
M OT B-O 
+ OT B-O 
N OT B-O 
) OT B-O 
đơn OT B-O 
vị OT B-O 
bộ OT B-O 
nhớ OT B-O 
để OT B-O 
lưu OT B-O 
lại OT B-O 
độ OT B-O 
quan OT B-O 
trọng OT B-O 
cho OT B-O 
nơ-ron OT B-O 
, OT B-O 
thay OT B-O 

PD OT B-O 
cập OT B-O 
PNnhật OT B-O 
d OT B-O 

Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Thế OT B-O 
Linh OT B-O 
– OT B-O 
20142585 OT B-O 
– OT B-O 
K59 OT B-O 
– OT B-O 
Lớp OT B-O 
CNTT OT B-O 
– OT B-O 
TT OT B-O 
2.03 OT B-O 
40 OT B-O 
Câu OT B-O 
1 OT B-O 
: OT B-O 
viewers OT B-O 
will OT B-O 
be OT B-O 
given OT B-O 
a OT B-O 
900 OT B-O 
number OT B-O 
to OT B-O 
call OT B-O 
. OT B-O 

• OT B-O 
Các OT B-O 
phép OT B-O 
DA OT B-O 
liên OT B-O 
quan OT B-O 
đến OT B-O 
màu OT B-O 
sắc OT B-O 
: OT B-O 
độ OT B-O 
sáng OT B-O 
, OT B-O 
độ OT B-O 
tương OT B-O 
phản OT B-O 
, OT B-O 
giảm OT B-O 
màu OT B-O 
, OT B-O 
độ OT B-O 
bão OT B-O 
hòa OT B-O 
Các OT B-O 
phép OT B-O 
DA OT B-O 
được OT B-O 
sử OT B-O 
dụng OT B-O 
kết OT B-O 
hợp OT B-O 
với OT B-O 
nhau OT B-O 
tạo OT B-O 
thành OT B-O 
một OT B-O 
tập OT B-O 
hợp OT B-O 
và OT B-O 
mỗi OT B-O 

thời OT B-O 
gian OT B-O 
( OT B-O 
item OT B-O 
trong OT B-O 
hệ OT B-O 
thống OT B-O 
này OT B-O 
là OT B-O 
các OT B-O 
banner OT B-O 
quảng OT B-O 
cáo OT B-O 
) OT B-O 
. OT B-O 
Ở OT B-O 
đây OT B-O 
, OT B-O 
view OT B-O 
là OT B-O 
một OT B-O 
hành OT B-O 
vi OT B-O 
tiềm OT B-O 
ẩn OT B-O 
, OT B-O 
nó OT B-O 
xảy OT B-O 
ra OT B-O 
khi OT B-O 
người OT B-O 
dùng OT B-O 
lướt OT B-O 
các OT B-O 
trang OT B-O 
web OT B-O 
có OT B-O 
hiển OT B-O 
thị OT B-O 
quảng OT B-O 

cứu OT B-O 
đã OT B-O 
khai OT B-O 
thác OT B-O 
thông OT B-O 
tin OT B-O 
từ OT B-O 
nối OT B-O 
trên OT B-O 
chính OT B-O 
bộ OT B-O 
dữ OT B-O 
liệu OT B-O 
PDTB OT B-O 
này OT B-O 
( OT B-O 
Liu OT B-O 
et OT B-O 
al OT B-O 
. OT B-O 
, OT B-O 
2016 OT B-O 
; OT B-O 
Wu OT B-O 
et OT B-O 
al OT B-O 
. OT B-O 
, OT B-O 
2016 OT B-O 
; OT B-O 
Lan OT B-O 
et OT B-O 
al OT B-O 
. OT B-O 
, OT B-O 
2017 OT B-O 
; OT B-O 
Bai OT B-O 
and OT B-O 
Zhao OT B-O 
, OT B-O 
2018 OT B-O 
) OT B-O 
. OT B-O 
Đó OT B-O 
cũng OT B-O 
chính OT B-O 
là OT B-O 
hướng OT B-O 
tiếp OT B-O 
cận OT B-O 
thứ OT B-O 

Chúng OT B-O 
tôi OT B-O 
sử OT B-O 
dụng OT B-O 
mô OT B-O 
hình OT B-O 
LDA OT B-O 
để OT B-O 
phân OT B-O 
tích OT B-O 
chủ OT B-O 
đề OT B-O 
của OT B-O 
7 OT B-O 
bộ OT B-O 
dữ OT B-O 
liệu OT B-O 
văn OT B-O 
bản OT B-O 
phổ OT B-O 
biến OT B-O 
, OT B-O 
trong OT B-O 
đó OT B-O 
có OT B-O 
: OT B-O 
• OT B-O 
6 OT B-O 
bộ OT B-O 
không OT B-O 
có OT B-O 
nhãn OT B-O 
thời OT B-O 
gian OT B-O 
bao OT B-O 
gồm OT B-O 
3 OT B-O 
bộ OT B-O 
gồm OT B-O 
các OT B-O 
văn OT B-O 
bản OT B-O 
dài OT B-O 
là OT B-O 
{ OT B-O 
Grolier OT B-O 

này OT B-O 
khác OT B-O 
với OT B-O 
MLE OT B-O 
hay OT B-O 
MAP OT B-O 
bởi OT B-O 
hai OT B-O 
ước OT B-O 
lượng OT B-O 
này OT B-O 
chỉ OT B-O 
tìm OT B-O 
được OT B-O 
một OT B-O 
giá OT B-O 
trị OT B-O 
của OT B-O 
tham OT B-O 
số OT B-O 
, OT B-O 
hay OT B-O 
còn OT B-O 
gọi OT B-O 
là OT B-O 
ước OT B-O 
lượng OT B-O 
điểm OT B-O 
( OT B-O 
Point OT B-O 
estimate OT B-O 
) OT B-O 
. OT B-O 
Trong OT B-O 
rất OT B-O 
nhiều OT B-O 
trường OT B-O 

Như OT B-O 
đã OT B-O 
đề OT B-O 
cập OT B-O 
lúc OT B-O 
đầu OT B-O 
, OT B-O 
mỗi OT B-O 
từ OT B-O 
nối OT B-O 
có OT B-O 
thể OT B-O 
kết OT B-O 
hợp OT B-O 
với OT B-O 
một OT B-O 
hoặc OT B-O 
nhiều OT B-O 
mối OT B-O 
quan OT B-O 
hệ OT B-O 
. OT B-O 
Ví OT B-O 
dụ OT B-O 
, OT B-O 
trong OT B-O 
bộ OT B-O 
dữ OT B-O 
liệu OT B-O 
PDTB OT B-O 
, OT B-O 
em OT B-O 
phát OT B-O 
hiện OT B-O 
ra OT B-O 
khoảng OT B-O 
53 OT B-O 
% OT B-O 
từ OT B-O 
nối OT B-O 
chỉ OT B-O 
kết OT B-O 
hợp OT B-O 
với OT B-O 
một OT B-O 

3.4 OT B-O 
. OT B-O 
2 OT B-O 
Mutil OT B-O 
- OT B-O 
Layer OT B-O 
Perceptron OT B-O 
( OT B-O 
MLP OT B-O 
) OT B-O 
Hình OT B-O 
19 OT B-O 
. OT B-O 
Mô OT B-O 
hình OT B-O 
Mutil OT B-O 
- OT B-O 
Layer OT B-O 
Perceptron OT B-O 
[ OT B-O 
3 OT B-O 
] OT B-O 

mạng OT B-O 
RNN OT B-O 
cơ OT B-O 
bản OT B-O 
được OT B-O 
mô OT B-O 
tả OT B-O 
như OT B-O 
trên OT B-O 
Hình OT B-O 
1 OT B-O 
. OT B-O 
5 OT B-O 
. OT B-O 
Mạng OT B-O 
nơ-ron OT B-O 
hồi OT B-O 
quy OT B-O 
cho OT B-O 
phép OT B-O 
ta OT B-O 
mô OT B-O 
hình OT B-O 
hóa OT B-O 
các OT B-O 
sự OT B-O 
phụ OT B-O 
thuộc OT B-O 
dài OT B-O 
hạn OT B-O 
về OT B-O 
thông OT B-O 
tin OT B-O 
vì OT B-O 
nó OT B-O 
có OT B-O 
khả OT B-O 
năng OT B-O 
cho OT B-O 
phép OT B-O 
thông OT B-O 
tin OT B-O 
được OT B-O 
lan OT B-O 

National OT B-O 
Institute OT B-O 
of OT B-O 
Information OT B-O 
and OT B-O 
Communications OT B-O 
Technology OT B-O 
, OT B-O 
Japan OT B-O 
( OT B-O 
NICT OT B-O 
) OT B-O 
khởi OT B-O 
xướng OT B-O 
vào OT B-O 
năm OT B-O 
2014 OT B-O 
. OT B-O 
Quá OT B-O 
trình OT B-O 
xây OT B-O 

mỗi OT B-O 
tầng OT B-O 
nhiễu OT B-O 
l OT B-O 
này OT B-O 
bao OT B-O 
gồm OT B-O 
hai OT B-O 
biến OT B-O 
ngẫu OT B-O 
nhiên OT B-O 
{ OT B-O 
µl OT B-O 
, OT B-O 
σ OT B-O 
l OT B-O 
} OT B-O 
. OT B-O 
X OT B-O 
2 OT B-O 
= OT B-O 
( OT B-O 
X OT B-O 
1 OT B-O 
E OT B-O 
1 OT B-O 
) OT B-O 
W OT B-O 
2 OT B-O 
. OT B-O 

CSS OT B-O 
CSDL OT B-O 
URL OT B-O 

truyền OT B-O 
qua OT B-O 
hoặc OT B-O 
bị OT B-O 
chặn OT B-O 
lại OT B-O 
ở OT B-O 
đầu OT B-O 
vào OT B-O 
hoặc OT B-O 
đầu OT B-O 
ra OT B-O 
của OT B-O 
LSTM OT B-O 
. OT B-O 
Giá OT B-O 
trị OT B-O 
các OT B-O 
phần OT B-O 
tử OT B-O 
của OT B-O 
it OT B-O 
và OT B-O 
ut OT B-O 
luôn OT B-O 
nằm OT B-O 
trong OT B-O 
khoảng OT B-O 
từ OT B-O 
0 OT B-O 
đến OT B-O 
1 OT B-O 
. OT B-O 

và OT B-O 
chuyển OT B-O 
nó OT B-O 
xuống OT B-O 
mạng OT B-O 
. OT B-O 
Ở OT B-O 
đây OT B-O 
sử OT B-O 
dụng OT B-O 
cổng OT B-O 
update OT B-O 
gate OT B-O 
. OT B-O 
Nó OT B-O 
quyết OT B-O 
định OT B-O 
thông OT B-O 
tin OT B-O 

tiếp OT B-O 
liên OT B-O 
quan OT B-O 
đến OT B-O 
sự OT B-O 
kiện OT B-O 
chính OT B-O 
Anecdotal OT B-O 
Event OT B-O 
( OT B-O 
D2 OT B-O 
) OT B-O 
: OT B-O 
là OT B-O 
các OT B-O 
sự OT B-O 
kiện OT B-O 
khó OT B-O 
xác OT B-O 
minh OT B-O 
, OT B-O 
các OT B-O 
tình OT B-O 
huống OT B-O 
hư OT B-O 
cấu OT B-O 
hoặc OT B-O 

Đầu OT B-O 
ra OT B-O 
: OT B-O 
• OT B-O 
Y OT B-O 
: OT B-O 
ma OT B-O 
trận OT B-O 
dữ OT B-O 
liệu OT B-O 
đã OT B-O 
được OT B-O 
giảm OT B-O 
chiều OT B-O 
, OT B-O 
với OT B-O 
chiều OT B-O 
m OT B-O 
× OT B-O 
d OT B-O 
. OT B-O 
Mỗi OT B-O 
hàng OT B-O 
là OT B-O 
một OT B-O 
điểm OT B-O 

( OT B-O 
10 OT B-O 
) OT B-O 
( OT B-O 
u OT B-O 
, OT B-O 
i OT B-O 
) OT B-O 
∈Y∪Y OT B-O 
− OT B-O 
Hàm OT B-O 
mất OT B-O 
mát OT B-O 
là OT B-O 
độ OT B-O 
lệch OT B-O 
bình OT B-O 
phương OT B-O 
sẽ OT B-O 
phù OT B-O 
hợp OT B-O 
hơn OT B-O 
khi OT B-O 
các OT B-O 
tập OT B-O 
các OT B-O 
giá OT B-O 
trị OT B-O 

việc OT B-O 
sử OT B-O 
dụng OT B-O 
và OT B-O 
không OT B-O 
sử OT B-O 
dụng OT B-O 
Dropout OT B-O 
. OT B-O 
Từ OT B-O 
đó OT B-O 
, OT B-O 
ta OT B-O 
có OT B-O 
thể OT B-O 
thấy OT B-O 
rằng OT B-O 
ALV OT B-O 
có OT B-O 
khả OT B-O 
năng OT B-O 
giúp OT B-O 
mô OT B-O 
hình OT B-O 
cân OT B-O 
bằng OT B-O 
tốt OT B-O 
giữa OT B-O 
hai OT B-O 
yếu OT B-O 
tố OT B-O 
là OT B-O 
tính OT B-O 
mềm OT B-O 
dẻo OT B-O 
và OT B-O 
ổn OT B-O 
