-DOCSTART- -X- O
synergies OT B-O 
with OT B-O 
United LF I-LF 
Nations LF I-LF 
country OT B-O 
team OT B-O 
members OT B-O 
, OT B-O 
particularly OT B-O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Population OT B-O 
Fund LF I-LF 
, OT B-O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Children LF I-LF 
's LF I-LF 
Fund LF I-LF 
( OT B-O 
UNICEF AN B-AN 
) OT B-O 
, OT B-O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT B-O 
UN-Women AN I-AN 
) OT B-O 
, OT B-O 
the LF I-LF 
Office OT B-O 
of LF I-LF 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
High OT B-O 
Commissioner OT B-O 
for LF I-LF 
Refugees OT B-O 
and LF I-LF 
the LF I-LF 
Joint OT B-O 
United LF I-LF 
Nations LF I-LF 
Programme OT B-O 
on LF I-LF 
HIV/AIDS OT B-O 
, OT B-O 
to OT B-O 
ensure OT B-O 
complementarity OT B-O 
with OT B-O 
ongoing OT B-O 
efforts OT B-O 
by OT B-O 
humanitarian OT B-O 
agencies OT B-O 
to OT B-O 
deliver OT B-O 
services OT B-O 
to OT B-O 
survivors OT B-O 
of LF I-LF 
conflict-related OT B-O 
sexual OT B-O 
violence OT B-O 
. OT B-O 

Moro LF B-LF 
Islamic LF I-LF 
Liberation LF I-LF 
Front LF I-LF 
( OT B-O 
MILF AN B-AN 
) OT B-O 
; OT B-O 
Rebolusyonaryong LF B-LF 
Partidong LF I-LF 
Manggagawa LF I-LF 
ng LF I-LF 
Pilipinas/Revolutionary OT B-O 
Proletarian OT B-O 
Army/Alex OT B-O 
Boncayao OT B-O 
Brigade OT B-O 
( OT B-O 
RPMP-RPA-ABB AN B-AN 
) OT B-O 
; OT B-O 
Rebolusyonaryong LF I-LF 
Partidong LF I-LF 
Manggagawa LF I-LF 
ng LF I-LF 
Mindanao LF I-LF 
( OT B-O 
RPM-M AN B-AN 
) OT B-O 
; OT B-O 
and OT B-O 
Communist OT B-O 
Party OT B-O 
of OT B-O 
the OT B-O 
Philippines-New OT B-O 
Peoples OT B-O 
Army-National OT B-O 
Democratic OT B-O 
Front LF I-LF 
( OT B-O 
CPPNPA-NDF AN B-AN 
) OT B-O 
. OT B-O 

Executive OT B-O 
Boards OT B-O 
of LF B-LF 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Development OT B-O 
Programme OT B-O 
, OT B-O 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Population OT B-O 
Fund OT B-O 
and LF I-LF 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Office OT B-O 
for LF I-LF 
Project OT B-O 
Services OT B-O 
, OT B-O 
of LF I-LF 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Children OT B-O 
's OT B-O 
Fund OT B-O 
and LF I-LF 
of LF I-LF 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT B-O 
UN-Women OT B-O 
) AN B-AN 
There OT B-O 
will OT B-O 
be OT B-O 
a LF I-LF 
joint OT B-O 
informal OT B-O 
consultation OT B-O 
of LF I-LF 
the LF I-LF 
Executive OT B-O 
Boards OT B-O 
of LF I-LF 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Development OT B-O 
Programme OT B-O 
, OT B-O 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Population OT B-O 
Fund OT B-O 
and LF I-LF 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Office OT B-O 
for LF I-LF 
Project OT B-O 
Services OT B-O 
, OT B-O 
of LF I-LF 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Children OT B-O 
's OT B-O 
Fund OT B-O 
and LF I-LF 
of LF I-LF 
the LF I-LF 
United OT B-O 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT B-O 
UN-Women OT B-O 
) AN I-AN 
, OT B-O 
on LF I-LF 
the LF I-LF 
lessons OT B-O 
learned OT B-O 
from OT B-O 
the LF I-LF 
common OT B-O 
country OT B-O 
programme OT B-O 
document OT B-O 
process OT B-O 
, OT B-O 
on LF I-LF 
Tuesday OT B-O 
, OT B-O 
20 OT B-O 
December OT B-O 
2011 OT B-O 
, OT B-O 
from OT B-O 
3 OT B-O 
to OT B-O 
6 OT B-O 
p.m. OT B-O 
in OT B-O 
Conference OT B-O 
Room OT B-O 
1 OT B-O 
( OT B-O 
NLB OT B-O 
) AN I-AN 
. AN B-AN 

1.4 OT B-O 
Signing OT B-O 
of OT B-O 
`` OT B-O 
E OT B-O 
'' OT B-O 
roads OT B-O 
( OT B-O 
a LF B-LF 
) AN B-AN 
The OT B-O 
letter OT B-O 
`` OT B-O 
E OT B-O 
'' OT B-O 
and OT B-O 
the OT B-O 
numerals OT B-O 
appearing OT B-O 
on LF I-LF 
the OT B-O 
road OT B-O 
identification OT B-O 
sign OT B-O 
prescribed OT B-O 
in LF I-LF 
Annex OT B-O 
III OT B-O 
to OT B-O 
the OT B-O 
European OT B-O 
Agreement OT B-O 
on LF I-LF 
Main LF I-LF 
International LF I-LF 
Traffic LF I-LF 
Arteries LF I-LF 
( OT B-O 
AGR OT B-O 
) AN I-AN 
should OT B-O 
be OT B-O 
of OT B-O 
the OT B-O 
same OT B-O 
height OT B-O 
. OT B-O 

23 OT B-O 
. OT B-O 
The OT B-O 
Forum OT B-O 
recommends OT B-O 
that OT B-O 
the LF B-LF 
United OT B-O 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT B-O 
UN-Women OT B-O 
) AN I-AN 
and LF I-LF 
the LF I-LF 
bureau OT B-O 
of LF I-LF 
the LF I-LF 
fifty-seventh OT B-O 
session OT B-O 
of LF I-LF 
the LF I-LF 
Commission OT B-O 
on LF I-LF 
the LF I-LF 
Status OT B-O 
of LF I-LF 
Women LF I-LF 
include OT B-O 
indigenous OT B-O 
women OT B-O 
as OT B-O 
experts OT B-O 
on LF I-LF 
violence OT B-O 
against OT B-O 
women OT B-O 
in OT B-O 
the LF I-LF 
interactive OT B-O 
panels OT B-O 
and LF I-LF 
guarantee OT B-O 
the LF I-LF 
participation OT B-O 
of LF I-LF 
indigenous OT B-O 
women OT B-O 
in OT B-O 
the LF I-LF 
process OT B-O 
of LF I-LF 
preparation OT B-O 
for LF I-LF 
and LF I-LF 
during OT B-O 
the LF I-LF 
fifty-seventh OT B-O 
session OT B-O 
of LF I-LF 
the LF I-LF 
Commission OT B-O 
. OT B-O 

Accordingly OT B-O 
, OT B-O 
if OT B-O 
all OT B-O 
projects OT B-O 
approved OT B-O 
or OT B-O 
to OT B-O 
be OT B-O 
approved OT B-O 
within OT B-O 
the OT B-O 
next OT B-O 
two OT B-O 
years OT B-O 
are OT B-O 
implemented OT B-O 
as OT B-O 
agreed OT B-O 
, OT B-O 
Parties OT B-O 
operating OT B-O 
under OT B-O 
Article OT B-O 
5 OT B-O 
will OT B-O 
have OT B-O 
achieved OT B-O 
a OT B-O 
97 OT B-O 
per OT B-O 
cent OT B-O 
reduction OT B-O 
in OT B-O 
the OT B-O 
ODP AN B-AN 
value OT B-O 
of OT B-O 
ozone-depleting OT B-O 
substances OT B-O 
for OT B-O 
which OT B-O 
they OT B-O 
currently OT B-O 
have OT B-O 
baselines OT B-O 
. OT B-O 
The OT B-O 
remaining OT B-O 
3 OT B-O 
per OT B-O 
cent OT B-O 
is OT B-O 
almost OT B-O 
entirely OT B-O 
methyl LF B-LF 
bromide LF I-LF 
( OT B-O 
MeBr AN B-AN 
) OT B-O 
, OT B-O 
which OT B-O 
Article OT B-O 
5 OT B-O 
Parties OT B-O 
are OT B-O 
currently OT B-O 
addressing OT B-O 
more OT B-O 
quickly OT B-O 
than OT B-O 
required OT B-O 
by OT B-O 
the OT B-O 
Protocol OT B-O 
. OT B-O 

a LF B-LF 
Not OT B-O 
inclusive OT B-O 
of OT B-O 
TRAC AN B-AN 
1.1.2 OT B-O 
, OT B-O 
which OT B-O 
is OT B-O 
allocated OT B-O 
regionally OT B-O 
for LF I-LF 
subsequent OT B-O 
country OT B-O 
application OT B-O 
. OT B-O 
Abbreviations OT B-O 
: OT B-O 
GEF AN B-AN 
= OT B-O 
Global LF I-LF 
Environment LF I-LF 
Facility LF I-LF 
; OT B-O 
IPF AN B-AN 
= OT B-O 
indicative LF I-LF 
planning LF I-LF 
figure LF I-LF 
; OT B-O 
SPPD AN B-AN 
= OT B-O 
support LF I-LF 
for LF I-LF 
policy LF I-LF 
and LF I-LF 
programme LF I-LF 
development LF I-LF 
; OT B-O 
STS AN B-AN 
= OT B-O 
support LF I-LF 
for LF I-LF 
technical LF I-LF 
services LF I-LF 
; OT B-O 
TRAC AN I-AN 
= OT B-O 
target LF I-LF 
for LF I-LF 
resource LF I-LF 
assignment LF I-LF 
from LF I-LF 
the LF I-LF 
core LF I-LF 
; OT B-O 
UNV AN B-AN 
= OT B-O 
United LF I-LF 
Nations LF I-LF 
Volunteers LF I-LF 
. OT B-O 

Capacity-building OT B-O 
to OT B-O 
Improve OT B-O 
Trade OT B-O 
Finance OT B-O 
and OT B-O 
Investment OT B-O 
Prospects OT B-O 
for LF B-LF 
the OT B-O 
Russian OT B-O 
Timber OT B-O 
Sector OT B-O 
Capacity-building OT B-O 
in OT B-O 
Trade OT B-O 
Facilitation OT B-O 
and OT B-O 
Electronic OT B-O 
Business OT B-O 
in OT B-O 
the OT B-O 
Mediterranean OT B-O 
( OT B-O 
Economic OT B-O 
Commission OT B-O 
for LF I-LF 
Europe OT B-O 
, OT B-O 
Economic OT B-O 
and OT B-O 
Social OT B-O 
Commission OT B-O 
for LF I-LF 
Western OT B-O 
Asia OT B-O 
, OT B-O 
and OT B-O 
Economic OT B-O 
Commission OT B-O 
for LF I-LF 
Africa OT B-O 
) OT B-O 
United LF I-LF 
Nations LF I-LF 
extensions LF I-LF 
for LF I-LF 
aligned LF I-LF 
electronic LF I-LF 
trade LF I-LF 
Documents LF I-LF 
( OT B-O 
UNeDocs AN B-AN 
) OT B-O 
All OT B-O 
projects OT B-O 
and OT B-O 
relevant OT B-O 
information OT B-O 
will OT B-O 
be OT B-O 
available OT B-O 
on LF I-LF 
the OT B-O 
Internet OT B-O 
at LF I-LF 
: OT B-O 
http OT B-O 
: OT B-O 
//www OT B-O 
. OT B-O 

Century OT B-O 
Dynamics OT B-O 
is OT B-O 
also OT B-O 
conducting OT B-O 
three OT B-O 
studies OT B-O 
for LF B-LF 
ESA OT B-O 
and OT B-O 
BNSC/Astrium OT B-O 
using OT B-O 
AUTODYN OT B-O 
. AN B-AN 
Those OT B-O 
studies OT B-O 
relate OT B-O 
: OT B-O 
( OT B-O 
a LF I-LF 
) AN B-AN 
to OT B-O 
impacts OT B-O 
on LF I-LF 
honeycomb OT B-O 
satellite OT B-O 
structures OT B-O 
; OT B-O 
( OT B-O 
b LF I-LF 
) AN I-AN 
to OT B-O 
impacts OT B-O 
on LF I-LF 
carbon OT B-O 
( OT B-O 
carbon OT B-O 
fibre LF I-LF 
reinforced LF I-LF 
plastics LF I-LF 
( OT B-O 
CFRP OT B-O 
) AN I-AN 
) AN I-AN 
-based OT B-O 
satellite OT B-O 
structures OT B-O 
; OT B-O 
and OT B-O 
( OT B-O 
c LF I-LF 
) AN I-AN 
to OT B-O 
very OT B-O 
oblique OT B-O 
impacts OT B-O 
( OT B-O 
85 OT B-O 
and OT B-O 
89 OT B-O 
degrees OT B-O 
) AN I-AN 
on LF I-LF 
the OT B-O 
mirror OT B-O 
of OT B-O 
the OT B-O 
XMM-Newton OT B-O 
mission OT B-O 
. AN I-AN 

For OT B-O 
further OT B-O 
information OT B-O 
, OT B-O 
please OT B-O 
contact OT B-O 
Ms. OT B-O 
Jutta OT B-O 
Edthofer OT B-O 
, OT B-O 
Office OT B-O 
of LF B-LF 
the LF I-LF 
President OT B-O 
of LF I-LF 
the LF I-LF 
General OT B-O 
Assembly OT B-O 
( OT B-O 
e-mail OT B-O 
edthofer OT B-O 
@ OT B-O 
un.org OT B-O 
) OT B-O 
. OT B-O 
] OT B-O 
Special OT B-O 
event OT B-O 
in OT B-O 
observance OT B-O 
of LF I-LF 
the LF I-LF 
International OT B-O 
Day OT B-O 
for LF I-LF 
the LF I-LF 
Elimination OT B-O 
of LF I-LF 
Violence OT B-O 
against OT B-O 
Women LF I-LF 
on LF I-LF 
the LF I-LF 
theme OT B-O 
`` OT B-O 
A OT B-O 
promise OT B-O 
is OT B-O 
a LF I-LF 
promise OT B-O 
'' OT B-O 
( OT B-O 
organized OT B-O 
by OT B-O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT B-O 
UN-Women AN I-AN 
) OT B-O 
) OT B-O 
Wednesday OT B-O 
, OT B-O 
28 OT B-O 
November OT B-O 
2012 OT B-O 
, OT B-O 
from OT B-O 
15:15 OT B-O 
to OT B-O 
16:15 OT B-O 
, OT B-O 
in OT B-O 
Conference OT B-O 
Room OT B-O 
6 OT B-O 
( OT B-O 
NLB AN B-AN 
) OT B-O 
. OT B-O 

The OT B-O 
appointments OT B-O 
included OT B-O 
five OT B-O 
LJM AN B-AN 
members OT B-O 
to OT B-O 
the OT B-O 
positions OT B-O 
of OT B-O 
Minister OT B-O 
of OT B-O 
Finance OT B-O 
and OT B-O 
Economic OT B-O 
Planning OT B-O 
; OT B-O 
Minister OT B-O 
of OT B-O 
Reconstruction OT B-O 
, OT B-O 
Development OT B-O 
and OT B-O 
Infrastructure OT B-O 
; OT B-O 
Minister OT B-O 
of OT B-O 
Technology OT B-O 
Development OT B-O 
and OT B-O 
CapacityBuilding OT B-O 
; OT B-O 
Commissioner OT B-O 
for OT B-O 
Voluntary OT B-O 
Returns OT B-O 
and OT B-O 
Resettlement OT B-O 
; OT B-O 
and OT B-O 
Commissioner OT B-O 
for OT B-O 
Truth OT B-O 
, OT B-O 
Justice OT B-O 
and OT B-O 
Reconciliation OT B-O 
. OT B-O 
Other OT B-O 
appointees OT B-O 
included OT B-O 
members OT B-O 
of OT B-O 
the OT B-O 
National OT B-O 
Congress OT B-O 
Party OT B-O 
and OT B-O 
the OT B-O 
Sudan LF B-LF 
Liberation LF I-LF 
Army LF I-LF 
( OT B-O 
SLA AN B-AN 
) OT B-O 
-Unity OT B-O 
and OT B-O 
members OT B-O 
of OT B-O 
the OT B-O 
parties OT B-O 
signatory OT B-O 
to OT B-O 
the OT B-O 
Declaration OT B-O 
of OT B-O 
Commitment OT B-O 
to OT B-O 
the OT B-O 
Darfur OT B-O 
Peace OT B-O 
Agreement OT B-O 
. OT B-O 

1 OT B-O 
( OT B-O 
917 OT B-O 
) OT B-O 
367-4165 OT B-O 
) OT B-O 
. AN B-AN 
] OT B-O 
UNU AN B-AN 
midday OT B-O 
forum OT B-O 
on LF B-LF 
`` OT B-O 
Reforming OT B-O 
aid OT B-O 
allocation OT B-O 
criteria OT B-O 
taking OT B-O 
into OT B-O 
account OT B-O 
vulnerability OT B-O 
'' OT B-O 
( OT B-O 
organized OT B-O 
by OT B-O 
