-DOCSTART- -X- O
af OT B-O 
en OT B-O 
europæisk OT B-O 
status OT B-O 
for OT B-O 
kunstnere OT B-O 
, OT B-O 
indførelse OT B-O 
af OT B-O 
lavere OT B-O 
momssatser OT B-O 
for OT B-O 
kulturgoder OT B-O 
og OT B-O 
forbedring OT B-O 
af OT B-O 
formidlingen OT B-O 
af OT B-O 
lovlige OT B-O 
digitale OT B-O 
tilbud OT B-O 
er OT B-O 
hensigtsmæssige OT B-O 
og OT B-O 
vigtige OT B-O 
foranstaltninger OT B-O 
, OT B-O 
der OT B-O 
kan OT B-O 
sikre OT B-O 
EU AN B-AN 
's OT B-O 
internationale OT B-O 
kulturelle OT B-O 
indflydelse OT B-O 
. OT B-O 
I OT B-O 
de OT B-O 
sidste OT B-O 
to LF B-LF 
årtier OT B-O 
har OT B-O 
væksten OT B-O 
inden OT B-O 
for OT B-O 
de OT B-O 
kulturelle OT B-O 
og OT B-O 
kreative OT B-O 
industrier OT B-O 
været OT B-O 
eksponentiel OT B-O 
med OT B-O 
hensyn OT B-O 
til OT B-O 
jobskabelse OT B-O 
og OT B-O 
bidraget OT B-O 
til OT B-O 
medlemsstaternes OT B-O 
bruttonationalprodukt LF I-LF 
( OT B-O 
BNP AN B-AN 
) OT B-O 
. OT B-O 

Hvis OT B-O 
de OT B-O 
anvendes OT B-O 
som OT B-O 
erstatning OT B-O 
for OT B-O 
en OT B-O 
anden OT B-O 
fødevare OT B-O 
, OT B-O 
må OT B-O 
de OT B-O 
heller OT B-O 
ikke OT B-O 
udgøre OT B-O 
en OT B-O 
ernæringsmæssig OT B-O 
forringelse OT B-O 
. AN B-AN 
Efter OT B-O 
ordførerens OT B-O 
mening OT B-O 
er OT B-O 
målsætningerne OT B-O 
i OT B-O 
den OT B-O 
nye OT B-O 
forordning OT B-O 
, OT B-O 
hvad OT B-O 
angår OT B-O 
nye OT B-O 
fødevarer OT B-O 
, OT B-O 
opnåelse OT B-O 
af OT B-O 
et OT B-O 
højt OT B-O 
niveau OT B-O 
for OT B-O 
fødevaresikkerhed OT B-O 
, OT B-O 
forbrugerbeskyttelse OT B-O 
, OT B-O 
beskyttelse OT B-O 
af OT B-O 
miljø OT B-O 
og OT B-O 
beskyttelse OT B-O 
af OT B-O 
dyresundheden OT B-O 
, OT B-O 
samtidig OT B-O 
med OT B-O 
at OT B-O 
der OT B-O 
til OT B-O 
enhver OT B-O 
tid OT B-O 
skal OT B-O 
tages OT B-O 
hensyn OT B-O 
til OT B-O 
forsigtighedsprincippet OT B-O 
, OT B-O 
som OT B-O 
er OT B-O 
fastlagt OT B-O 
i OT B-O 
Europa-Parlamentets OT B-O 
og OT B-O 
Rådets OT B-O 
forordning OT B-O 
( OT B-O 
EF AN B-AN 
) OT B-O 
nr AN I-AN 
. AN I-AN 
178/2002 OT B-O 
af OT B-O 
28. OT B-O 
januar OT B-O 
2002 OT B-O 
om OT B-O 
generelle OT B-O 
principper OT B-O 
og OT B-O 
krav OT B-O 
i OT B-O 
fødevarelovgivningen OT B-O 
, OT B-O 
om OT B-O 
oprettelse OT B-O 
af OT B-O 
Den OT B-O 
Europæiske OT B-O 
Fødevaresikkerhedsautoritet OT B-O 
og OT B-O 
om OT B-O 
procedurer OT B-O 
vedrørende OT B-O 
fødevaresikkerhed OT B-O 
. AN I-AN 

Som OT B-O 
jeg OT B-O 
gjorde OT B-O 
klart OT B-O 
ved OT B-O 
høringerne OT B-O 
i OT B-O 
september OT B-O 
og OT B-O 
andre OT B-O 
lejligheder OT B-O 
, OT B-O 
står OT B-O 
vi OT B-O 
sammen OT B-O 
i OT B-O 
overbevisningen OT B-O 
om OT B-O 
, OT B-O 
at OT B-O 
det OT B-O 
har OT B-O 
en OT B-O 
værdi OT B-O 
at OT B-O 
definere OT B-O 
de OT B-O 
bedst OT B-O 
mulige OT B-O 
mekanismer OT B-O 
til OT B-O 
dette OT B-O 
formål OT B-O 
, OT B-O 
selvom OT B-O 
vi OT B-O 
naturligvis OT B-O 
alle OT B-O 
håber OT B-O 
, OT B-O 
at OT B-O 
det OT B-O 
sjældent OT B-O 
vil OT B-O 
være OT B-O 
nødvendigt OT B-O 
. OT B-O 
Siden OT B-O 
juni OT B-O 
sidste OT B-O 
år OT B-O 
har OT B-O 
forordningen OT B-O 
om OT B-O 
OLAF AN B-AN 
givet OT B-O 
bedre OT B-O 
vejledning OT B-O 
til OT B-O 
personalet OT B-O 
omkring OT B-O 
indberetningen OT B-O 
af OT B-O 
eventuelle OT B-O 
uregelmæssigheder OT B-O 
. OT B-O 

Man OT B-O 
kan OT B-O 
ikke OT B-O 
lade OT B-O 
være OT B-O 
med OT B-O 
at OT B-O 
konkludere OT B-O 
, OT B-O 
at OT B-O 
menings- OT B-O 
og OT B-O 
ytringsfriheden OT B-O 
i LF B-LF 
stadig OT B-O 
højere OT B-O 
grad OT B-O 
bliver OT B-O 
truet OT B-O 
, OT B-O 
og OT B-O 
at OT B-O 
man OT B-O 
lader OT B-O 
hånt OT B-O 
om OT B-O 
den OT B-O 
, OT B-O 
og OT B-O 
pladsen OT B-O 
bliver OT B-O 
overtaget OT B-O 
af OT B-O 
selvcensur OT B-O 
og OT B-O 
intellektuel OT B-O 
terrorisme OT B-O 
. OT B-O 
`` OT B-O 
Set OT B-O 
i LF I-LF 
lyset OT B-O 
af OT B-O 
, OT B-O 
at OT B-O 
Den OT B-O 
Europæiske LF I-LF 
Unions OT B-O 
( OT B-O 
EU AN B-AN 
's OT B-O 
) OT B-O 
forfatningsproces OT B-O 
for OT B-O 
øjeblikket OT B-O 
er OT B-O 
sat OT B-O 
i LF I-LF 
bero OT B-O 
, OT B-O 
anser OT B-O 
ordføreren OT B-O 
det OT B-O 
for OT B-O 
at OT B-O 
være OT B-O 
det OT B-O 
rette OT B-O 
tidspunkt OT B-O 
at OT B-O 
markere OT B-O 
Europas OT B-O 
beskyttelse OT B-O 
og OT B-O 
fremme OT B-O 
af OT B-O 
grundlæggende OT B-O 
menneskerettigheder OT B-O 
. OT B-O 
'' OT B-O 

LT AN B-AN 
) OT B-O 
Jeg OT B-O 
støttede OT B-O 
denne OT B-O 
betænkning OT B-O 
. AN B-AN 
Alene OT B-O 
i LF B-LF 
EU AN B-AN 
afsættes OT B-O 
der OT B-O 
hvert OT B-O 
år OT B-O 
anslået OT B-O 
9,3 OT B-O 
mio AN I-AN 
. AN I-AN 
t LF I-LF 
elektrisk LF I-LF 
og LF I-LF 
elektronisk LF I-LF 
udstyr LF I-LF 
( OT B-O 
EEE AN B-AN 
) OT B-O 
, OT B-O 
hvoraf OT B-O 
størstedelen OT B-O 
er OT B-O 
store OT B-O 
husholdningsapparater OT B-O 
og LF I-LF 
it- OT B-O 
og LF I-LF 
telekommunikationsudstyr OT B-O 
. AN I-AN 

De OT B-O 
har OT B-O 
gjort OT B-O 
en OT B-O 
stor OT B-O 
indsats OT B-O 
for LF B-LF 
at LF I-LF 
stabilisere OT B-O 
Vestbalkan OT B-O 
og LF I-LF 
med OT B-O 
hensyn OT B-O 
til OT B-O 
Kosovospørgsmålet OT B-O 
, OT B-O 
Kroatiens OT B-O 
tiltrædelse OT B-O 
og LF I-LF 
ophævelse OT B-O 
af OT B-O 
visumpligten OT B-O 
. OT B-O 
Jeg OT B-O 
er OT B-O 
især OT B-O 
taknemmelig OT B-O 
for LF I-LF 
, OT B-O 
at LF I-LF 
de OT B-O 
støttede OT B-O 
Ungarns OT B-O 
ønske OT B-O 
om OT B-O 
at LF I-LF 
være OT B-O 
værtsland OT B-O 
for LF I-LF 
Det OT B-O 
Europæiske LF I-LF 
Institut LF I-LF 
for LF I-LF 
Innovation LF I-LF 
og LF I-LF 
Teknologi LF I-LF 
( OT B-O 
EIT AN B-AN 
) OT B-O 
, OT B-O 
og LF I-LF 
jeg OT B-O 
vil OT B-O 
gerne OT B-O 
takke OT B-O 
alle OT B-O 
de OT B-O 
medlemsstater OT B-O 
, OT B-O 
der OT B-O 
støttede OT B-O 
vores OT B-O 
ønske OT B-O 
. OT B-O 

I AN B-AN 
øvrigt OT B-O 
sagde OT B-O 
De OT B-O 
, OT B-O 
at OT B-O 
vi OT B-O 
især OT B-O 
bliver OT B-O 
nødt OT B-O 
til OT B-O 
at OT B-O 
forstærke OT B-O 
kontrollen OT B-O 
, OT B-O 
både OT B-O 
med OT B-O 
flagnationen OT B-O 
og OT B-O 
med OT B-O 
klassificeringen OT B-O 
af OT B-O 
selskaberne OT B-O 
. OT B-O 
De OT B-O 
sagde OT B-O 
, OT B-O 
at OT B-O 
RINA AN I-AN 
er OT B-O 
et OT B-O 
italiensk OT B-O 
klassifikationsregister OT B-O 
, OT B-O 
der OT B-O 
er OT B-O 
kendt OT B-O 
af OT B-O 
Kommissionen OT B-O 
. OT B-O 

Dernæst OT B-O 
påtager OT B-O 
COREPER AN B-AN 
II OT B-O 
sig OT B-O 
rollen OT B-O 
som OT B-O 
aktionsplatform OT B-O 
med OT B-O 
ansvar OT B-O 
for OT B-O 
koordineringen OT B-O 
af OT B-O 
medlemsstaternes OT B-O 
indsats OT B-O 
eller OT B-O 
forberedelse OT B-O 
af OT B-O 
de OT B-O 
beslutninger OT B-O 
, OT B-O 
der OT B-O 
eventuelt OT B-O 
skal OT B-O 
tages OT B-O 
på OT B-O 
EU-niveau OT B-O 
. OT B-O 
Det OT B-O 
væsentligste OT B-O 
operationelle OT B-O 
redskab OT B-O 
udgøres OT B-O 
af OT B-O 
EU AN B-AN 
's OT B-O 
Fælles OT B-O 
Situationscenter LF B-LF 
( OT B-O 
SitCen AN B-AN 
) OT B-O 
i LF I-LF 
Rådssekretariatet OT B-O 
. OT B-O 

for LF B-LF 
ALDE-Gruppen OT B-O 
. AN B-AN 
- OT B-O 
( OT B-O 
EN AN B-AN 
) OT B-O 
Hr AN I-AN 
. AN I-AN 
formand OT B-O 
! OT B-O 
Kommissionens OT B-O 
forslag OT B-O 
om OT B-O 
Verdensfonden LF I-LF 
for LF I-LF 
Energieffektivitet LF I-LF 
og LF I-LF 
Vedvarende LF I-LF 
Energi LF I-LF 
( OT B-O 
VFEEVE AN B-AN 
) OT B-O 
hilses OT B-O 
naturligvis OT B-O 
velkommen OT B-O 
. AN I-AN 

Formålet OT B-O 
med OT B-O 
denne OT B-O 
beslutning OT B-O 
er LF B-LF 
at OT B-O 
tilkendegive OT B-O 
Europa-Parlamentets OT B-O 
perspektiv OT B-O 
på OT B-O 
analysen OT B-O 
af OT B-O 
Kommissionens OT B-O 
” OT B-O 
Small OT B-O 
Business OT B-O 
Act OT B-O 
” OT B-O 
. OT B-O 
Med OT B-O 
denne OT B-O 
beslutning OT B-O 
støtter OT B-O 
Parlamentet OT B-O 
således OT B-O 
de LF I-LF 
nye OT B-O 
forslag OT B-O 
, OT B-O 
som LF I-LF 
skal OT B-O 
forbedre OT B-O 
små LF I-LF 
og LF I-LF 
mellemstore LF I-LF 
virksomheders OT B-O 
( OT B-O 
SMV'er OT B-O 
) OT B-O 
adgang OT B-O 
til OT B-O 
finansiering OT B-O 
og LF I-LF 
til OT B-O 
markeder OT B-O 
, OT B-O 
og LF I-LF 
Parlamentet OT B-O 
støtter OT B-O 
tillige OT B-O 
foranstaltninger OT B-O 
til OT B-O 
fortsat OT B-O 
afbureaukratisering OT B-O 
gennem OT B-O 
forbedret OT B-O 
styring OT B-O 
og LF I-LF 
overvågning OT B-O 
, OT B-O 
smart OT B-O 
regulering OT B-O 
og LF I-LF 
øvrige OT B-O 
foranstaltninger OT B-O 
, OT B-O 
såsom OT B-O 
SMV-præstationsmålingen OT B-O 
. OT B-O 

Vi OT B-O 
kontaktede OT B-O 
den OT B-O 
rumænske OT B-O 
regering OT B-O 
og OT B-O 
Den OT B-O 
Internationale OT B-O 
Kommission OT B-O 
for OT B-O 
Beskyttelse OT B-O 
af OT B-O 
Donau OT B-O 
om OT B-O 
ulykken OT B-O 
tidligere OT B-O 
i OT B-O 
denne OT B-O 
måned OT B-O 
for OT B-O 
straks OT B-O 
at OT B-O 
få OT B-O 
flere OT B-O 
oplysninger OT B-O 
. OT B-O 
Rumænerne OT B-O 
har OT B-O 
henvendt OT B-O 
sig OT B-O 
til OT B-O 
UNEF AN B-AN 
og OT B-O 
OCHA AN B-AN 
i OT B-O 
Genève OT B-O 
for OT B-O 
at OT B-O 
få OT B-O 
en OT B-O 
vurdering OT B-O 
af OT B-O 
skaden OT B-O 
på OT B-O 
Donauområdet OT B-O 
fra OT B-O 
et OT B-O 
uafhængigt OT B-O 
internationalt OT B-O 
eksperthold OT B-O 
. OT B-O 

Man OT B-O 
skal OT B-O 
nemlig OT B-O 
sætte OT B-O 
skub OT B-O 
i OT B-O 
en OT B-O 
mere OT B-O 
aktiv OT B-O 
deltagelse OT B-O 
fra OT B-O 
lokale OT B-O 
og OT B-O 
regionale OT B-O 
myndigheders OT B-O 
side OT B-O 
i OT B-O 
fællesskabsinitiativer OT B-O 
, OT B-O 
ud OT B-O 
fra OT B-O 
den OT B-O 
betragtning OT B-O 
at OT B-O 
lokale OT B-O 
og OT B-O 
regionale OT B-O 
myndigheder OT B-O 
meget OT B-O 
ofte OT B-O 
har OT B-O 
en OT B-O 
meget OT B-O 
begrænset OT B-O 
samarbejdskapacitet OT B-O 
som OT B-O 
følge OT B-O 
af OT B-O 
de OT B-O 
forskellige OT B-O 
juridiske OT B-O 
rammer OT B-O 
og OT B-O 
de OT B-O 
uens OT B-O 
udviklingstrin OT B-O 
på OT B-O 
de OT B-O 
respektive OT B-O 
sider OT B-O 
af OT B-O 
én OT B-O 
og OT B-O 
samme OT B-O 
grænse OT B-O 
. OT B-O 
I OT B-O 
forbindelse OT B-O 
med OT B-O 
samarbejdet OT B-O 
hen OT B-O 
over OT B-O 
grænserne OT B-O 
skal OT B-O 
det OT B-O 
tillægges OT B-O 
større OT B-O 
betydning OT B-O 
at OT B-O 
forbedre OT B-O 
driftsbetingelserne OT B-O 
for OT B-O 
små OT B-O 
og OT B-O 
mellemstore OT B-O 
virksomheder OT B-O 
, OT B-O 
som OT B-O 
er OT B-O 
dem OT B-O 
, OT B-O 
der OT B-O 
skaber OT B-O 
arbejdspladser OT B-O 
. OT B-O 

Støtte OT B-O 
til OT B-O 
udvikling OT B-O 
af LF B-LF 
landdistrikterne OT B-O 
fra OT B-O 
ELFUL AN B-AN 
- OT B-O 
Direkte OT B-O 
betalinger OT B-O 
inden OT B-O 
for LF I-LF 
den OT B-O 
fælles OT B-O 
landbrugspolitik OT B-O 
( OT B-O 
forhandling OT B-O 
) OT B-O 
Næste OT B-O 
punkt OT B-O 
på OT B-O 
dagsordenen OT B-O 
er LF I-LF 
forhandling OT B-O 
under OT B-O 
ét OT B-O 
om OT B-O 
betænkning OT B-O 
af LF I-LF 
Jan OT B-O 
Mulder OT B-O 
for LF I-LF 
Udvalget OT B-O 
om OT B-O 
Landbrug LF I-LF 
og OT B-O 
Udvikling LF I-LF 
af LF I-LF 
Landdistrikter LF I-LF 
om OT B-O 
forslag OT B-O 
til OT B-O 
Rådets OT B-O 
forordning OT B-O 
om OT B-O 
ændring OT B-O 
af LF I-LF 
forordning OT B-O 
nr AN B-AN 
. AN I-AN 
1698/2005 OT B-O 
om OT B-O 
støtte OT B-O 
til OT B-O 
udvikling OT B-O 
af LF I-LF 
landdistrikterne OT B-O 
fra OT B-O 
Den OT B-O 
Europæiske LF I-LF 
Landbrugsfond LF I-LF 
for LF I-LF 
Udvikling LF I-LF 
af LF I-LF 
Landdistrikterne LF I-LF 
( OT B-O 
ELFUL AN I-AN 
) OT B-O 
- OT B-O 
C6-0237/2006 OT B-O 
- OT B-O 
og OT B-O 
betænkning OT B-O 
af LF I-LF 
Lutz OT B-O 
Goepel OT B-O 
for LF I-LF 
Udvalget OT B-O 
om OT B-O 
Landbrug LF I-LF 
og OT B-O 
Udvikling LF I-LF 
af LF I-LF 
Landdistrikter LF I-LF 
om OT B-O 
forslag OT B-O 
til OT B-O 
Rådets OT B-O 
forordning OT B-O 
om OT B-O 
regler OT B-O 
for LF I-LF 
frivillig OT B-O 
graduering OT B-O 
af LF I-LF 
direkte OT B-O 
betalinger OT B-O 
som OT B-O 
fastsat OT B-O 
i LF I-LF 
forordning OT B-O 
( OT B-O 
