-DOCSTART- -X- O
1 OT B-O 
‬ OT B-O 
یک OT B-O 
هما OT B-O 
شبکه OT B-O 
نمونه OT B-O 
را OT B-O 
نشان OT B-O 
می OT B-O 
دهد OT B-O 
‪ OT B-O 
.‬ OT B-O 
در OT B-O 
این OT B-O 
مورد OT B-O 
‪ OT B-O 
، OT B-O 
‬‬ OT B-O 
‫حوزه OT B-O 
‪ OT B-O 
EIGRP OT B-O 
‬ OT B-O 
در OT B-O 
سمت OT B-O 
چپ OT B-O 
شکل OT B-O 
از OT B-O 
زیر OT B-O 
شبکه OT B-O 
های OT B-O 
کالس OT B-O 
‪ OT B-O 
B OT B-O 
‬ OT B-O 
شبکه OT B-O 
‪ OT B-O 
172 OT B-O 
. OT B-O 
30 OT B-O 
. OT B-O 
0 OT B-O 
. OT B-O 
0 OT B-O 
‬ OT B-O 
و OT B-O 
حوزه OT B-O 
‪ OT B-O 
OSDF OT B-O 
‬ OT B-O 
در OT B-O 
‬ OT B-O 

‬ OT B-O 
در OT B-O 
مسیرهای OT B-O 
‬ OT B-O 
‫ OT B-O 
طراحان OT B-O 
نمی OT B-O 
توانند OT B-O 
به OT B-O 
وسیله OT B-O 
آنها OT B-O 
بهترین OT B-O 
مسیر OT B-O 
را OT B-O 
برای OT B-O 
رسیدن OT B-O 
به OT B-O 
خارج OT B-O 
مقصد OT B-O 
‪OSPF OT B-O 
‬‬ OT B-O 
‫‪ OT B-O 
، OT B-O 
E OT B-O 
1 OT B-O 
‬ OT B-O 
هززینه OT B-O 
های OT B-O 
داخلی OT B-O 
و OT B-O 
خارجی OT B-O 
‪ OT B-O 
OSPF OT B-O 
‬ OT B-O 
برای OT B-O 
انتخاب OT B-O 
بهترین OT B-O 
مسیر OT B-O 
حائز OT B-O 
اهمیت OT B-O 
هستند OT B-O 
‪ OT B-O 
. OT B-O 
‬ OT B-O 
در OT B-O 
مسیرهای OT B-O 
‪ OT B-O 
E2 OT B-O 
‬‬ OT B-O 

2 OT B-O 
- OT B-O 
2 OT B-O 
- OT B-O 
3 OT B-O 
ارایه LF B-LF 
انتشار LF I-LF 
گروهی LF I-LF 
( OT B-O 
PGB AN B-AN 
) OT B-O 
33 OT B-O 
3 OT B-O 
- OT B-O 
2 OT B-O 
- OT B-O 
3 OT B-O 
AckPBSM OT B-O 
33 OT B-O 
4 OT B-O 
- OT B-O 
2 OT B-O 
- OT B-O 
3 OT B-O 
DECA OT B-O 
34 OT B-O 

در OT B-O 
مركز LF B-LF 
هر OT B-O 
قسمت OT B-O 
يك OT B-O 
گره OT B-O 
ارتباطي OT B-O 
وجود OT B-O 
دارد OT B-O 
كه OT B-O 
مركز LF I-LF 
ديسپاچينگ LF I-LF 
توزيع LF I-LF 
( OT B-O 
DDC AN B-AN 
) OT B-O 
نيز OT B-O 
يكي OT B-O 
از OT B-O 
اين OT B-O 
گره‌ها OT B-O 
مي‌باشد OT B-O 
. OT B-O 
5 OT B-O 
گره OT B-O 
ارتباطي OT B-O 
ياد OT B-O 
شده OT B-O 
توسط OT B-O 
سيستم OT B-O 
راديوئي OT B-O 
UHF AN B-AN 
نقطه OT B-O 
به OT B-O 
نقطه OT B-O 
با OT B-O 
فركانس OT B-O 
900 OT B-O 
مگاهرتز OT B-O 
بصورت OT B-O 
حلقوي OT B-O 
( OT B-O 
Loop OT B-O 
) OT B-O 
به OT B-O 
يكديگر OT B-O 
ارتباط OT B-O 
يافته‌اند OT B-O 
. OT B-O 
از OT B-O 
آنتن OT B-O 
بشقابي OT B-O 
براي OT B-O 
اين OT B-O 
نوع OT B-O 
ارتباط OT B-O 
استفاده OT B-O 
شده OT B-O 
است OT B-O 
. OT B-O 

در OT B-O 
سيستم OT B-O 
I OT B-O 
هم OT B-O 
احتياج OT B-O 
به OT B-O 
ارتباط OT B-O 
اضافه OT B-O 
نيست OT B-O 
و OT B-O 
